36.1,-0.05,PV outputMarch: 141.88 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputApril: 146.07 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputMay: 154.78 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputJune: 154 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputJuly: 159.42 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputAugust: 159.89 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputSeptember: 141.87 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputOctober: 135.43 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputNovember: 106.41 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,-0.05,PV outputDecember: 106.11 kWh,Comunidad autónoma no encontrada,Provincia no encontrada
36.1,0.2,PV outputJanuary: 114.64 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputFebruary: 118.47 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputMarch: 144.28 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputApril: 146.07 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputMay: 155.5 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputJune: 154.38 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputJuly: 161.11 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputAugust: 161.49 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputSeptember: 144.53 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputOctober: 140.33 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputNovember: 108.94 kWh,Mostaganem,Provincia no encontrada
36.1,0.2,PV outputDecember: 107.84 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputJanuary: 112.35 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputFebruary: 114.69 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputMarch: 140.72 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputApril: 142.53 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputMay: 153.33 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputJune: 153.07 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputJuly: 160.04 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputAugust: 160.68 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputSeptember: 142.88 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputOctober: 139.49 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputNovember: 105.18 kWh,Mostaganem,Provincia no encontrada
36.1,0.45,PV outputDecember: 103.74 kWh,Mostaganem,Provincia no encontrada
36.1,0.7,PV outputJanuary: 110.75 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputFebruary: 113.99 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputMarch: 139.16 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputApril: 142.84 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputMay: 153.08 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputJune: 153.3 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputJuly: 160.56 kWh,Provincia de Relizan,Provincia no encontrada
36.1,0.7,PV outputAugust: 161.21 kWh,Provincia de Relizan,Provincia no encontrada
