Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;01 Andalucía;11 Cádiz;5 personas o más;2021;28.973
Total Nacional;01 Andalucía;11 Cádiz;5 personas o más;2020;29.341
Total Nacional;01 Andalucía;11 Cádiz;Tamaño medio;2023;2,59
Total Nacional;01 Andalucía;11 Cádiz;Tamaño medio;2022;2,61
Total Nacional;01 Andalucía;11 Cádiz;Tamaño medio;2021;2,62
Total Nacional;01 Andalucía;11 Cádiz;Tamaño medio;2020;2,64
Total Nacional;01 Andalucía;14 Córdoba;Total;2023;310.673
Total Nacional;01 Andalucía;14 Córdoba;Total;2022;309.962
Total Nacional;01 Andalucía;14 Córdoba;Total;2021;309.245
Total Nacional;01 Andalucía;14 Córdoba;Total;2020;308.244
Total Nacional;01 Andalucía;14 Córdoba;1 persona;2023;81.354
Total Nacional;01 Andalucía;14 Córdoba;1 persona;2022;80.008
Total Nacional;01 Andalucía;14 Córdoba;1 persona;2021;78.693
Total Nacional;01 Andalucía;14 Córdoba;1 persona;2020;77.091
Total Nacional;01 Andalucía;14 Córdoba;2 personas;2023;94.566
Total Nacional;01 Andalucía;14 Córdoba;2 personas;2022;93.534
Total Nacional;01 Andalucía;14 Córdoba;2 personas;2021;92.466
Total Nacional;01 Andalucía;14 Córdoba;2 personas;2020;91.364
Total Nacional;01 Andalucía;14 Córdoba;3 personas;2023;62.236
Total Nacional;01 Andalucía;14 Córdoba;3 personas;2022;62.559
Total Nacional;01 Andalucía;14 Córdoba;3 personas;2021;62.869
Total Nacional;01 Andalucía;14 Córdoba;3 personas;2020;63.191
Total Nacional;01 Andalucía;14 Córdoba;4 personas;2023;57.053
Total Nacional;01 Andalucía;14 Córdoba;4 personas;2022;58.001
Total Nacional;01 Andalucía;14 Córdoba;4 personas;2021;58.953
Total Nacional;01 Andalucía;14 Córdoba;4 personas;2020;59.922
Total Nacional;01 Andalucía;14 Córdoba;5 personas o más;2023;15.464
