Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;04 Balears, Illes;;Total;2022;464.555
Total Nacional;04 Balears, Illes;;Total;2021;461.625
Total Nacional;04 Balears, Illes;;Total;2020;458.479
Total Nacional;04 Balears, Illes;;1 persona;2023;112.509
Total Nacional;04 Balears, Illes;;1 persona;2022;111.481
Total Nacional;04 Balears, Illes;;1 persona;2021;110.600
Total Nacional;04 Balears, Illes;;1 persona;2020;109.568
Total Nacional;04 Balears, Illes;;2 personas;2023;144.535
Total Nacional;04 Balears, Illes;;2 personas;2022;143.601
Total Nacional;04 Balears, Illes;;2 personas;2021;142.722
Total Nacional;04 Balears, Illes;;2 personas;2020;141.769
Total Nacional;04 Balears, Illes;;3 personas;2023;94.283
Total Nacional;04 Balears, Illes;;3 personas;2022;94.089
Total Nacional;04 Balears, Illes;;3 personas;2021;93.897
Total Nacional;04 Balears, Illes;;3 personas;2020;93.712
Total Nacional;04 Balears, Illes;;4 personas;2023;78.179
Total Nacional;04 Balears, Illes;;4 personas;2022;78.043
Total Nacional;04 Balears, Illes;;4 personas;2021;77.889
Total Nacional;04 Balears, Illes;;4 personas;2020;77.734
Total Nacional;04 Balears, Illes;;5 personas o más;2023;38.168
Total Nacional;04 Balears, Illes;;5 personas o más;2022;37.341
Total Nacional;04 Balears, Illes;;5 personas o más;2021;36.517
Total Nacional;04 Balears, Illes;;5 personas o más;2020;35.696
Total Nacional;04 Balears, Illes;;Tamaño medio;2023;2,64
Total Nacional;04 Balears, Illes;;Tamaño medio;2022;2,63
Total Nacional;04 Balears, Illes;;Tamaño medio;2021;2,63
Total Nacional;04 Balears, Illes;;Tamaño medio;2020;2,62
Total Nacional;05 Canarias;;Total;2023;867.978
Total Nacional;05 Canarias;;Total;2022;862.758
Total Nacional;05 Canarias;;Total;2021;857.895
Total Nacional;05 Canarias;;Total;2020;852.907
Total Nacional;05 Canarias;;1 persona;2023;211.015
Total Nacional;05 Canarias;;1 persona;2022;208.852
Total Nacional;05 Canarias;;1 persona;2021;206.905
Total Nacional;05 Canarias;;1 persona;2020;204.856
Total Nacional;05 Canarias;;2 personas;2023;257.346
Total Nacional;05 Canarias;;2 personas;2022;254.175
Total Nacional;05 Canarias;;2 personas;2021;251.140
Total Nacional;05 Canarias;;2 personas;2020;248.164
Total Nacional;05 Canarias;;3 personas;2023;194.913
Total Nacional;05 Canarias;;3 personas;2022;194.473
Total Nacional;05 Canarias;;3 personas;2021;194.033
Total Nacional;05 Canarias;;3 personas;2020;193.586
Total Nacional;05 Canarias;;4 personas;2023;142.583
Total Nacional;05 Canarias;;4 personas;2022;143.514
Total Nacional;05 Canarias;;4 personas;2021;144.444
Total Nacional;05 Canarias;;4 personas;2020;145.325
Total Nacional;05 Canarias;;5 personas o más;2023;62.121
Total Nacional;05 Canarias;;5 personas o más;2022;61.744
Total Nacional;05 Canarias;;5 personas o más;2021;61.373
Total Nacional;05 Canarias;;5 personas o más;2020;60.976
Total Nacional;05 Canarias;;Tamaño medio;2023;2,59
Total Nacional;05 Canarias;;Tamaño medio;2022;2,60
Total Nacional;05 Canarias;;Tamaño medio;2021;2,60
Total Nacional;05 Canarias;;Tamaño medio;2020;2,61
Total Nacional;05 Canarias;35 Palmas, Las;Total;2023;446.851
Total Nacional;05 Canarias;35 Palmas, Las;Total;2022;443.886
Total Nacional;05 Canarias;35 Palmas, Las;Total;2021;441.076
Total Nacional;05 Canarias;35 Palmas, Las;Total;2020;438.239
Total Nacional;05 Canarias;35 Palmas, Las;1 persona;2023;110.252
Total Nacional;05 Canarias;35 Palmas, Las;1 persona;2022;108.840
Total Nacional;05 Canarias;35 Palmas, Las;1 persona;2021;107.548
Total Nacional;05 Canarias;35 Palmas, Las;1 persona;2020;106.231
Total Nacional;05 Canarias;35 Palmas, Las;2 personas;2023;130.387
Total Nacional;05 Canarias;35 Palmas, Las;2 personas;2022;128.599
Total Nacional;05 Canarias;35 Palmas, Las;2 personas;2021;126.866
Total Nacional;05 Canarias;35 Palmas, Las;2 personas;2020;125.174
Total Nacional;05 Canarias;35 Palmas, Las;3 personas;2023;100.190
Total Nacional;05 Canarias;35 Palmas, Las;3 personas;2022;99.888
Total Nacional;05 Canarias;35 Palmas, Las;3 personas;2021;99.576
Total Nacional;05 Canarias;35 Palmas, Las;3 personas;2020;99.260
Total Nacional;05 Canarias;35 Palmas, Las;4 personas;2023;72.617
Total Nacional;05 Canarias;35 Palmas, Las;4 personas;2022;73.225
Total Nacional;05 Canarias;35 Palmas, Las;4 personas;2021;73.824
Total Nacional;05 Canarias;35 Palmas, Las;4 personas;2020;74.393
Total Nacional;05 Canarias;35 Palmas, Las;5 personas o más;2023;33.405
Total Nacional;05 Canarias;35 Palmas, Las;5 personas o más;2022;33.334
Total Nacional;05 Canarias;35 Palmas, Las;5 personas o más;2021;33.262
Total Nacional;05 Canarias;35 Palmas, Las;5 personas o más;2020;33.181
Total Nacional;05 Canarias;35 Palmas, Las;Tamaño medio;2023;2,59
Total Nacional;05 Canarias;35 Palmas, Las;Tamaño medio;2022;2,59
Total Nacional;05 Canarias;35 Palmas, Las;Tamaño medio;2021;2,60
Total Nacional;05 Canarias;35 Palmas, Las;Tamaño medio;2020;2,61
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;2023;421.127
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;2022;418.872
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;2021;416.819
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Total;2020;414.668
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;1 persona;2023;100.763
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;1 persona;2022;100.012
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;1 persona;2021;99.357
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;1 persona;2020;98.625
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2 personas;2023;126.959
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2 personas;2022;125.576
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2 personas;2021;124.274
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;2 personas;2020;122.990
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;3 personas;2023;94.723
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;3 personas;2022;94.585
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;3 personas;2021;94.457
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;3 personas;2020;94.326
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;4 personas;2023;69.966
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;4 personas;2022;70.289
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;4 personas;2021;70.620
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;4 personas;2020;70.932
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;5 personas o más;2023;28.716
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;5 personas o más;2022;28.410
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;5 personas o más;2021;28.111
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;5 personas o más;2020;27.795
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Tamaño medio;2023;2,60
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Tamaño medio;2022;2,60
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Tamaño medio;2021;2,60
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Tamaño medio;2020;2,60
Total Nacional;06 Cantabria;;Total;2023;242.884
Total Nacional;06 Cantabria;;Total;2022;242.716
Total Nacional;06 Cantabria;;Total;2021;242.540
Total Nacional;06 Cantabria;;Total;2020;242.445
Total Nacional;06 Cantabria;;1 persona;2023;71.329
Total Nacional;06 Cantabria;;1 persona;2022;70.524
Total Nacional;06 Cantabria;;1 persona;2021;69.736
Total Nacional;06 Cantabria;;1 persona;2020;68.956
Total Nacional;06 Cantabria;;2 personas;2023;75.783
Total Nacional;06 Cantabria;;2 personas;2022;75.352
Total Nacional;06 Cantabria;;2 personas;2021;74.900
Total Nacional;06 Cantabria;;2 personas;2020;74.487
Total Nacional;06 Cantabria;;3 personas;2023;49.659
Total Nacional;06 Cantabria;;3 personas;2022;50.059
Total Nacional;06 Cantabria;;3 personas;2021;50.460
Total Nacional;06 Cantabria;;3 personas;2020;50.883
Total Nacional;06 Cantabria;;4 personas;2023;36.089
Total Nacional;06 Cantabria;;4 personas;2022;36.624
Total Nacional;06 Cantabria;;4 personas;2021;37.152
Total Nacional;06 Cantabria;;4 personas;2020;37.690
Total Nacional;06 Cantabria;;5 personas o más;2023;10.024
Total Nacional;06 Cantabria;;5 personas o más;2022;10.157
Total Nacional;06 Cantabria;;5 personas o más;2021;10.292
Total Nacional;06 Cantabria;;5 personas o más;2020;10.429
Total Nacional;06 Cantabria;;Tamaño medio;2023;2,34
Total Nacional;06 Cantabria;;Tamaño medio;2022;2,35
Total Nacional;06 Cantabria;;Tamaño medio;2021;2,36
Total Nacional;06 Cantabria;;Tamaño medio;2020;2,38
Total Nacional;07 Castilla y León;;Total;2023;1.010.714
Total Nacional;07 Castilla y León;;Total;2022;1.013.323
Total Nacional;07 Castilla y León;;Total;2021;1.016.132
Total Nacional;07 Castilla y León;;Total;2020;1.020.467
Total Nacional;07 Castilla y León;;1 persona;2023;312.042
Total Nacional;07 Castilla y León;;1 persona;2022;309.392
Total Nacional;07 Castilla y León;;1 persona;2021;306.840
Total Nacional;07 Castilla y León;;1 persona;2020;304.685
Total Nacional;07 Castilla y León;;2 personas;2023;331.441
Total Nacional;07 Castilla y León;;2 personas;2022;330.736
Total Nacional;07 Castilla y León;;2 personas;2021;330.084
Total Nacional;07 Castilla y León;;2 personas;2020;330.144
Total Nacional;07 Castilla y León;;3 personas;2023;192.703
Total Nacional;07 Castilla y León;;3 personas;2022;195.126
Total Nacional;07 Castilla y León;;3 personas;2021;197.568
Total Nacional;07 Castilla y León;;3 personas;2020;200.255
Total Nacional;07 Castilla y León;;4 personas;2023;141.239
Total Nacional;07 Castilla y León;;4 personas;2022;144.206
Total Nacional;07 Castilla y León;;4 personas;2021;147.192
Total Nacional;07 Castilla y León;;4 personas;2020;150.314
Total Nacional;07 Castilla y León;;5 personas o más;2023;33.289
Total Nacional;07 Castilla y León;;5 personas o más;2022;33.863
Total Nacional;07 Castilla y León;;5 personas o más;2021;34.448
Total Nacional;07 Castilla y León;;5 personas o más;2020;35.069
Total Nacional;07 Castilla y León;;Tamaño medio;2023;2,27
Total Nacional;07 Castilla y León;;Tamaño medio;2022;2,28
Total Nacional;07 Castilla y León;;Tamaño medio;2021;2,29
Total Nacional;07 Castilla y León;;Tamaño medio;2020;2,30
Total Nacional;07 Castilla y León;05 Ávila;Total;2023;65.269
Total Nacional;07 Castilla y León;05 Ávila;Total;2022;65.576
Total Nacional;07 Castilla y León;05 Ávila;Total;2021;65.903
Total Nacional;07 Castilla y León;05 Ávila;Total;2020;66.317
Total Nacional;07 Castilla y León;05 Ávila;1 persona;2023;20.300
Total Nacional;07 Castilla y León;05 Ávila;1 persona;2022;20.152
Total Nacional;07 Castilla y León;05 Ávila;1 persona;2021;20.001
Total Nacional;07 Castilla y León;05 Ávila;1 persona;2020;19.858
Total Nacional;07 Castilla y León;05 Ávila;2 personas;2023;20.762
Total Nacional;07 Castilla y León;05 Ávila;2 personas;2022;20.790
Total Nacional;07 Castilla y León;05 Ávila;2 personas;2021;20.825
Total Nacional;07 Castilla y León;05 Ávila;2 personas;2020;20.907
Total Nacional;07 Castilla y León;05 Ávila;3 personas;2023;11.927
Total Nacional;07 Castilla y León;05 Ávila;3 personas;2022;12.077
Total Nacional;07 Castilla y León;05 Ávila;3 personas;2021;12.233
Total Nacional;07 Castilla y León;05 Ávila;3 personas;2020;12.405
Total Nacional;07 Castilla y León;05 Ávila;4 personas;2023;9.584
Total Nacional;07 Castilla y León;05 Ávila;4 personas;2022;9.820
Total Nacional;07 Castilla y León;05 Ávila;4 personas;2021;10.064
Total Nacional;07 Castilla y León;05 Ávila;4 personas;2020;10.322
Total Nacional;07 Castilla y León;05 Ávila;5 personas o más;2023;2.696
Total Nacional;07 Castilla y León;05 Ávila;5 personas o más;2022;2.737
Total Nacional;07 Castilla y León;05 Ávila;5 personas o más;2021;2.780
Total Nacional;07 Castilla y León;05 Ávila;5 personas o más;2020;2.825
Total Nacional;07 Castilla y León;05 Ávila;Tamaño medio;2023;2,31
Total Nacional;07 Castilla y León;05 Ávila;Tamaño medio;2022;2,32
Total Nacional;07 Castilla y León;05 Ávila;Tamaño medio;2021;2,33
Total Nacional;07 Castilla y León;05 Ávila;Tamaño medio;2020;2,34
Total Nacional;07 Castilla y León;09 Burgos;Total;2023;149.453
Total Nacional;07 Castilla y León;09 Burgos;Total;2022;149.674
Total Nacional;07 Castilla y León;09 Burgos;Total;2021;149.931
Total Nacional;07 Castilla y León;09 Burgos;Total;2020;150.275
Total Nacional;07 Castilla y León;09 Burgos;1 persona;2023;46.879
Total Nacional;07 Castilla y León;09 Burgos;1 persona;2022;46.630
Total Nacional;07 Castilla y León;09 Burgos;1 persona;2021;46.415
Total Nacional;07 Castilla y León;09 Burgos;1 persona;2020;46.211
Total Nacional;07 Castilla y León;09 Burgos;2 personas;2023;47.290
Total Nacional;07 Castilla y León;09 Burgos;2 personas;2022;47.077
Total Nacional;07 Castilla y León;09 Burgos;2 personas;2021;46.885
Total Nacional;07 Castilla y León;09 Burgos;2 personas;2020;46.713
Total Nacional;07 Castilla y León;09 Burgos;3 personas;2023;27.318
Total Nacional;07 Castilla y León;09 Burgos;3 personas;2022;27.628
Total Nacional;07 Castilla y León;09 Burgos;3 personas;2021;27.935
Total Nacional;07 Castilla y León;09 Burgos;3 personas;2020;28.268
Total Nacional;07 Castilla y León;09 Burgos;4 personas;2023;22.457
Total Nacional;07 Castilla y León;09 Burgos;4 personas;2022;22.780
Total Nacional;07 Castilla y León;09 Burgos;4 personas;2021;23.090
Total Nacional;07 Castilla y León;09 Burgos;4 personas;2020;23.424
Total Nacional;07 Castilla y León;09 Burgos;5 personas o más;2023;5.509
Total Nacional;07 Castilla y León;09 Burgos;5 personas o más;2022;5.559
Total Nacional;07 Castilla y León;09 Burgos;5 personas o más;2021;5.606
Total Nacional;07 Castilla y León;09 Burgos;5 personas o más;2020;5.659
Total Nacional;07 Castilla y León;09 Burgos;Tamaño medio;2023;2,29
Total Nacional;07 Castilla y León;09 Burgos;Tamaño medio;2022;2,30
Total Nacional;07 Castilla y León;09 Burgos;Tamaño medio;2021;2,30
Total Nacional;07 Castilla y León;09 Burgos;Tamaño medio;2020;2,31
Total Nacional;07 Castilla y León;24 León;Total;2023;197.046
Total Nacional;07 Castilla y León;24 León;Total;2022;197.893
Total Nacional;07 Castilla y León;24 León;Total;2021;198.759
Total Nacional;07 Castilla y León;24 León;Total;2020;199.994
Total Nacional;07 Castilla y León;24 León;1 persona;2023;62.689
Total Nacional;07 Castilla y León;24 León;1 persona;2022;62.162
Total Nacional;07 Castilla y León;24 León;1 persona;2021;61.629
Total Nacional;07 Castilla y León;24 León;1 persona;2020;61.187
Total Nacional;07 Castilla y León;24 León;2 personas;2023;66.874
Total Nacional;07 Castilla y León;24 León;2 personas;2022;66.919
Total Nacional;07 Castilla y León;24 León;2 personas;2021;66.967
Total Nacional;07 Castilla y León;24 León;2 personas;2020;67.192
Total Nacional;07 Castilla y León;24 León;3 personas;2023;36.950
Total Nacional;07 Castilla y León;24 León;3 personas;2022;37.525
Total Nacional;07 Castilla y León;24 León;3 personas;2021;38.108
Total Nacional;07 Castilla y León;24 León;3 personas;2020;38.751
Total Nacional;07 Castilla y León;24 León;4 personas;2023;25.291
Total Nacional;07 Castilla y León;24 León;4 personas;2022;25.911
Total Nacional;07 Castilla y León;24 León;4 personas;2021;26.542
Total Nacional;07 Castilla y León;24 León;4 personas;2020;27.205
Total Nacional;07 Castilla y León;24 León;5 personas o más;2023;5.242
Total Nacional;07 Castilla y León;24 León;5 personas o más;2022;5.376
Total Nacional;07 Castilla y León;24 León;5 personas o más;2021;5.513
Total Nacional;07 Castilla y León;24 León;5 personas o más;2020;5.659
Total Nacional;07 Castilla y León;24 León;Tamaño medio;2023;2,21
Total Nacional;07 Castilla y León;24 León;Tamaño medio;2022;2,22
Total Nacional;07 Castilla y León;24 León;Tamaño medio;2021;2,23
Total Nacional;07 Castilla y León;24 León;Tamaño medio;2020;2,25
Total Nacional;07 Castilla y León;34 Palencia;Total;2023;65.849
Total Nacional;07 Castilla y León;34 Palencia;Total;2022;66.097
Total Nacional;07 Castilla y León;34 Palencia;Total;2021;66.360
Total Nacional;07 Castilla y León;34 Palencia;Total;2020;66.644
Total Nacional;07 Castilla y León;34 Palencia;1 persona;2023;20.444
Total Nacional;07 Castilla y León;34 Palencia;1 persona;2022;20.273
Total Nacional;07 Castilla y León;34 Palencia;1 persona;2021;20.109
Total Nacional;07 Castilla y León;34 Palencia;1 persona;2020;19.946
Total Nacional;07 Castilla y León;34 Palencia;2 personas;2023;21.245
Total Nacional;07 Castilla y León;34 Palencia;2 personas;2022;21.214
Total Nacional;07 Castilla y León;34 Palencia;2 personas;2021;21.177
Total Nacional;07 Castilla y León;34 Palencia;2 personas;2020;21.147
Total Nacional;07 Castilla y León;34 Palencia;3 personas;2023;12.963
Total Nacional;07 Castilla y León;34 Palencia;3 personas;2022;13.164
Total Nacional;07 Castilla y León;34 Palencia;3 personas;2021;13.371
Total Nacional;07 Castilla y León;34 Palencia;3 personas;2020;13.586
Total Nacional;07 Castilla y León;34 Palencia;4 personas;2023;8.968
Total Nacional;07 Castilla y León;34 Palencia;4 personas;2022;9.173
Total Nacional;07 Castilla y León;34 Palencia;4 personas;2021;9.384
Total Nacional;07 Castilla y León;34 Palencia;4 personas;2020;9.599
Total Nacional;07 Castilla y León;34 Palencia;5 personas o más;2023;2.229
Total Nacional;07 Castilla y León;34 Palencia;5 personas o más;2022;2.273
Total Nacional;07 Castilla y León;34 Palencia;5 personas o más;2021;2.319
Total Nacional;07 Castilla y León;34 Palencia;5 personas o más;2020;2.366
Total Nacional;07 Castilla y León;34 Palencia;Tamaño medio;2023;2,27
Total Nacional;07 Castilla y León;34 Palencia;Tamaño medio;2022;2,28
Total Nacional;07 Castilla y León;34 Palencia;Tamaño medio;2021;2,29
Total Nacional;07 Castilla y León;34 Palencia;Tamaño medio;2020;2,30
Total Nacional;07 Castilla y León;37 Salamanca;Total;2023;140.155
Total Nacional;07 Castilla y León;37 Salamanca;Total;2022;140.543
Total Nacional;07 Castilla y León;37 Salamanca;Total;2021;141.003
Total Nacional;07 Castilla y León;37 Salamanca;Total;2020;141.867
Total Nacional;07 Castilla y León;37 Salamanca;1 persona;2023;43.834
Total Nacional;07 Castilla y León;37 Salamanca;1 persona;2022;43.393
Total Nacional;07 Castilla y León;37 Salamanca;1 persona;2021;42.983
Total Nacional;07 Castilla y León;37 Salamanca;1 persona;2020;42.689
Total Nacional;07 Castilla y León;37 Salamanca;2 personas;2023;46.105
Total Nacional;07 Castilla y León;37 Salamanca;2 personas;2022;46.021
Total Nacional;07 Castilla y León;37 Salamanca;2 personas;2021;45.971
Total Nacional;07 Castilla y León;37 Salamanca;2 personas;2020;46.101
Total Nacional;07 Castilla y León;37 Salamanca;3 personas;2023;27.473
Total Nacional;07 Castilla y León;37 Salamanca;3 personas;2022;27.864
Total Nacional;07 Castilla y León;37 Salamanca;3 personas;2021;28.260
Total Nacional;07 Castilla y León;37 Salamanca;3 personas;2020;28.720
Total Nacional;07 Castilla y León;37 Salamanca;4 personas;2023;18.860
Total Nacional;07 Castilla y León;37 Salamanca;4 personas;2022;19.306
Total Nacional;07 Castilla y León;37 Salamanca;4 personas;2021;19.754
Total Nacional;07 Castilla y León;37 Salamanca;4 personas;2020;20.237
Total Nacional;07 Castilla y León;37 Salamanca;5 personas o más;2023;3.883
Total Nacional;07 Castilla y León;37 Salamanca;5 personas o más;2022;3.959
Total Nacional;07 Castilla y León;37 Salamanca;5 personas o más;2021;4.035
Total Nacional;07 Castilla y León;37 Salamanca;5 personas o más;2020;4.120
Total Nacional;07 Castilla y León;37 Salamanca;Tamaño medio;2023;2,24
Total Nacional;07 Castilla y León;37 Salamanca;Tamaño medio;2022;2,25
Total Nacional;07 Castilla y León;37 Salamanca;Tamaño medio;2021;2,26
Total Nacional;07 Castilla y León;37 Salamanca;Tamaño medio;2020;2,28
Total Nacional;07 Castilla y León;40 Segovia;Total;2023;61.780
Total Nacional;07 Castilla y León;40 Segovia;Total;2022;61.868
Total Nacional;07 Castilla y León;40 Segovia;Total;2021;61.997
Total Nacional;07 Castilla y León;40 Segovia;Total;2020;62.356
Total Nacional;07 Castilla y León;40 Segovia;1 persona;2023;17.623
Total Nacional;07 Castilla y León;40 Segovia;1 persona;2022;17.525
Total Nacional;07 Castilla y León;40 Segovia;1 persona;2021;17.449
Total Nacional;07 Castilla y León;40 Segovia;1 persona;2020;17.470
Total Nacional;07 Castilla y León;40 Segovia;2 personas;2023;18.839
Total Nacional;07 Castilla y León;40 Segovia;2 personas;2022;18.742
Total Nacional;07 Castilla y León;40 Segovia;2 personas;2021;18.651
Total Nacional;07 Castilla y León;40 Segovia;2 personas;2020;18.677
Total Nacional;07 Castilla y León;40 Segovia;3 personas;2023;11.755
Total Nacional;07 Castilla y León;40 Segovia;3 personas;2022;11.799
Total Nacional;07 Castilla y León;40 Segovia;3 personas;2021;11.846
Total Nacional;07 Castilla y León;40 Segovia;3 personas;2020;11.914
Total Nacional;07 Castilla y León;40 Segovia;4 personas;2023;10.732
Total Nacional;07 Castilla y León;40 Segovia;4 personas;2022;10.938
Total Nacional;07 Castilla y León;40 Segovia;4 personas;2021;11.152
Total Nacional;07 Castilla y León;40 Segovia;4 personas;2020;11.361
Total Nacional;07 Castilla y León;40 Segovia;5 personas o más;2023;2.831
Total Nacional;07 Castilla y León;40 Segovia;5 personas o más;2022;2.864
Total Nacional;07 Castilla y León;40 Segovia;5 personas o más;2021;2.899
Total Nacional;07 Castilla y León;40 Segovia;5 personas o más;2020;2.934
Total Nacional;07 Castilla y León;40 Segovia;Tamaño medio;2023;2,40
Total Nacional;07 Castilla y León;40 Segovia;Tamaño medio;2022;2,41
Total Nacional;07 Castilla y León;40 Segovia;Tamaño medio;2021;2,42
Total Nacional;07 Castilla y León;40 Segovia;Tamaño medio;2020;2,42
Total Nacional;07 Castilla y León;42 Soria;Total;2023;37.174
Total Nacional;07 Castilla y León;42 Soria;Total;2022;37.281
Total Nacional;07 Castilla y León;42 Soria;Total;2021;37.393
Total Nacional;07 Castilla y León;42 Soria;Total;2020;37.622
Total Nacional;07 Castilla y León;42 Soria;1 persona;2023;11.784
Total Nacional;07 Castilla y León;42 Soria;1 persona;2022;11.725
Total Nacional;07 Castilla y León;42 Soria;1 persona;2021;11.657
Total Nacional;07 Castilla y León;42 Soria;1 persona;2020;11.644
Total Nacional;07 Castilla y León;42 Soria;2 personas;2023;11.407
Total Nacional;07 Castilla y León;42 Soria;2 personas;2022;11.407
Total Nacional;07 Castilla y León;42 Soria;2 personas;2021;11.417
Total Nacional;07 Castilla y León;42 Soria;2 personas;2020;11.466
Total Nacional;07 Castilla y León;42 Soria;3 personas;2023;6.796
Total Nacional;07 Castilla y León;42 Soria;3 personas;2022;6.855
Total Nacional;07 Castilla y León;42 Soria;3 personas;2021;6.915
Total Nacional;07 Castilla y León;42 Soria;3 personas;2020;6.987
Total Nacional;07 Castilla y León;42 Soria;4 personas;2023;5.639
Total Nacional;07 Castilla y León;42 Soria;4 personas;2022;5.735
Total Nacional;07 Castilla y León;42 Soria;4 personas;2021;5.832
Total Nacional;07 Castilla y León;42 Soria;4 personas;2020;5.938
Total Nacional;07 Castilla y León;42 Soria;5 personas o más;2023;1.548
Total Nacional;07 Castilla y León;42 Soria;5 personas o más;2022;1.559
Total Nacional;07 Castilla y León;42 Soria;5 personas o más;2021;1.572
Total Nacional;07 Castilla y León;42 Soria;5 personas o más;2020;1.587
Total Nacional;07 Castilla y León;42 Soria;Tamaño medio;2023;2,31
Total Nacional;07 Castilla y León;42 Soria;Tamaño medio;2022;2,31
Total Nacional;07 Castilla y León;42 Soria;Tamaño medio;2021;2,32
Total Nacional;07 Castilla y León;42 Soria;Tamaño medio;2020;2,33
Total Nacional;07 Castilla y León;47 Valladolid;Total;2023;220.324
Total Nacional;07 Castilla y León;47 Valladolid;Total;2022;220.207
Total Nacional;07 Castilla y León;47 Valladolid;Total;2021;220.037
Total Nacional;07 Castilla y León;47 Valladolid;Total;2020;220.093
Total Nacional;07 Castilla y León;47 Valladolid;1 persona;2023;64.587
Total Nacional;07 Castilla y León;47 Valladolid;1 persona;2022;63.785
Total Nacional;07 Castilla y León;47 Valladolid;1 persona;2021;62.989
Total Nacional;07 Castilla y León;47 Valladolid;1 persona;2020;62.242
Total Nacional;07 Castilla y León;47 Valladolid;2 personas;2023;73.957
Total Nacional;07 Castilla y León;47 Valladolid;2 personas;2022;73.568
Total Nacional;07 Castilla y León;47 Valladolid;2 personas;2021;73.136
Total Nacional;07 Castilla y León;47 Valladolid;2 personas;2020;72.837
Total Nacional;07 Castilla y León;47 Valladolid;3 personas;2023;43.327
Total Nacional;07 Castilla y León;47 Valladolid;3 personas;2022;43.722
Total Nacional;07 Castilla y León;47 Valladolid;3 personas;2021;44.105
Total Nacional;07 Castilla y León;47 Valladolid;3 personas;2020;44.520
Total Nacional;07 Castilla y León;47 Valladolid;4 personas;2023;30.788
Total Nacional;07 Castilla y León;47 Valladolid;4 personas;2022;31.364
Total Nacional;07 Castilla y León;47 Valladolid;4 personas;2021;31.937
Total Nacional;07 Castilla y León;47 Valladolid;4 personas;2020;32.520
Total Nacional;07 Castilla y León;47 Valladolid;5 personas o más;2023;7.665
Total Nacional;07 Castilla y León;47 Valladolid;5 personas o más;2022;7.768
Total Nacional;07 Castilla y León;47 Valladolid;5 personas o más;2021;7.870
Total Nacional;07 Castilla y León;47 Valladolid;5 personas o más;2020;7.974
Total Nacional;07 Castilla y León;47 Valladolid;Tamaño medio;2023;2,29
Total Nacional;07 Castilla y León;47 Valladolid;Tamaño medio;2022;2,30
Total Nacional;07 Castilla y León;47 Valladolid;Tamaño medio;2021;2,31
Total Nacional;07 Castilla y León;47 Valladolid;Tamaño medio;2020;2,33
Total Nacional;07 Castilla y León;49 Zamora;Total;2023;73.664
Total Nacional;07 Castilla y León;49 Zamora;Total;2022;74.184
Total Nacional;07 Castilla y León;49 Zamora;Total;2021;74.749
Total Nacional;07 Castilla y León;49 Zamora;Total;2020;75.299
Total Nacional;07 Castilla y León;49 Zamora;1 persona;2023;23.902
Total Nacional;07 Castilla y León;49 Zamora;1 persona;2022;23.747
Total Nacional;07 Castilla y León;49 Zamora;1 persona;2021;23.608
Total Nacional;07 Castilla y León;49 Zamora;1 persona;2020;23.438
Total Nacional;07 Castilla y León;49 Zamora;2 personas;2023;24.962
Total Nacional;07 Castilla y León;49 Zamora;2 personas;2022;24.998
Total Nacional;07 Castilla y León;49 Zamora;2 personas;2021;25.055
Total Nacional;07 Castilla y León;49 Zamora;2 personas;2020;25.104
Total Nacional;07 Castilla y León;49 Zamora;3 personas;2023;14.194
Total Nacional;07 Castilla y León;49 Zamora;3 personas;2022;14.492
Total Nacional;07 Castilla y León;49 Zamora;3 personas;2021;14.795
Total Nacional;07 Castilla y León;49 Zamora;3 personas;2020;15.104
Total Nacional;07 Castilla y León;49 Zamora;4 personas;2023;8.920
Total Nacional;07 Castilla y León;49 Zamora;4 personas;2022;9.179
