Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Badajoz;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.977
Badajoz;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;176.179
Badajoz;Total;De 50.000 habitantes o menos;Total;184.425
Badajoz;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;2.304
Badajoz;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;961
Badajoz;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;80.956
Badajoz;Total;Más de 50.000 habitantes;Total;84.221
Badajoz;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.248
Badajoz;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;997
Badajoz;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Badajoz;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;92.519
Badajoz;Menos de 1.000 euros;Total;Total;94.765
Badajoz;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;868
Badajoz;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;761
Badajoz;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;71.544
Badajoz;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;73.173
Badajoz;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;381
Badajoz;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;235
Badajoz;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;20.975
Badajoz;Menos de 1.000 euros;Más de 50.000 habitantes;Total;21.591
Badajoz;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.376
Badajoz;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;539
Badajoz;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;65.286
Badajoz;De 1.000 euros a menos de 1.500 euros;Total;Total;68.201
Badajoz;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.177
Badajoz;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;462
Badajoz;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;48.163
Badajoz;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;50.802
Badajoz;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;199
Badajoz;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;77
Badajoz;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.123
Badajoz;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;17.399
Badajoz;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.617
Badajoz;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;451
Badajoz;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;39.455
Badajoz;De 1.500 euros a menos de 2.000 euros;Total;Total;41.523
Badajoz;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.146
Badajoz;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;296
Badajoz;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;26.270
Badajoz;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;27.713
Badajoz;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;470
Badajoz;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;155
Badajoz;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;13.184
Badajoz;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;13.809
Badajoz;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.171
Badajoz;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;704
Badajoz;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Badajoz;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;37.662
Badajoz;De 2.000 euros a menos de 3.000 euros;Total;Total;40.537
Badajoz;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.421
Badajoz;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;457
Badajoz;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;20.249
Badajoz;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;22.128
Badajoz;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;750
Badajoz;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;247
Badajoz;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;17.413
Badajoz;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;18.410
Badajoz;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;1.160
Badajoz;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;246
Badajoz;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
Badajoz;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;22.213
Badajoz;3.000 euros o más;Total;Total;23.620
Badajoz;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;657
Badajoz;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Badajoz;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Badajoz;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;9.952
Badajoz;3.000 euros o más;De 50.000 habitantes o menos;Total;10.609
Badajoz;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;503
Badajoz;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;246
Badajoz;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Badajoz;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;12.262
Badajoz;3.000 euros o más;Más de 50.000 habitantes;Total;13.011
Balears, Illes;Total;Total;Un único tipo de dispositivo: Energía solar térmica;15.197
Balears, Illes;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;11.607
Balears, Illes;Total;Total;Combinación de varios tipos de dispositivos;2.527
Balears, Illes;Total;Total;No dispone de dispositivo de energía renovable;433.014
Balears, Illes;Total;Total;Total;462.345
Balears, Illes;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;11.855
Balears, Illes;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;8.615
Balears, Illes;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;2.320
Balears, Illes;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;233.760
Balears, Illes;Total;De 50.000 habitantes o menos;Total;256.550
Balears, Illes;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;3.342
Balears, Illes;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.992
Balears, Illes;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;208
Balears, Illes;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;199.254
Balears, Illes;Total;Más de 50.000 habitantes;Total;205.795
Balears, Illes;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.547
Balears, Illes;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.488
Balears, Illes;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;87
Balears, Illes;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;69.042
Balears, Illes;Menos de 1.000 euros;Total;Total;72.163
Balears, Illes;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.136
Balears, Illes;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.316
Balears, Illes;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;87
Balears, Illes;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;39.567
Balears, Illes;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;42.106
Balears, Illes;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;411
Balears, Illes;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;171
Balears, Illes;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Balears, Illes;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;29.475
Balears, Illes;Menos de 1.000 euros;Más de 50.000 habitantes;Total;30.057
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.261
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.490
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;354
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;93.232
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Total;Total;98.337
Balears, Illes;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.862
Balears, Illes;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.956
Balears, Illes;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;325
Balears, Illes;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;48.383
Balears, Illes;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;52.525
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;399
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;534
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;44.850
Balears, Illes;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;45.812
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.385
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.611
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;508
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;80.069
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Total;Total;85.573
Balears, Illes;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.183
Balears, Illes;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.413
Balears, Illes;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;422
Balears, Illes;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;45.030
Balears, Illes;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;49.049
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;202
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.198
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;86
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;35.039
Balears, Illes;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;36.524
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;4.007
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.116
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;568
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;116.124
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Total;Total;122.815
Balears, Illes;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;3.286
Balears, Illes;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.502
Balears, Illes;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;506
Balears, Illes;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;63.197
Balears, Illes;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;68.492
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;721
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;614
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;52.926
Balears, Illes;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;54.323
Balears, Illes;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;4.997
Balears, Illes;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.901
Balears, Illes;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;1.010
Balears, Illes;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;74.548
Balears, Illes;3.000 euros o más;Total;Total;83.456
Balears, Illes;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;3.388
Balears, Illes;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.428
Balears, Illes;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;979
Balears, Illes;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;37.583
Balears, Illes;3.000 euros o más;De 50.000 habitantes o menos;Total;44.378
Balears, Illes;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.608
Balears, Illes;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;474
Balears, Illes;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Balears, Illes;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;36.965
Balears, Illes;3.000 euros o más;Más de 50.000 habitantes;Total;39.078
Barcelona;Total;Total;Un único tipo de dispositivo: Energía solar térmica;86.297
Barcelona;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;46.323
Barcelona;Total;Total;Combinación de varios tipos de dispositivos;5.079
Barcelona;Total;Total;No dispone de dispositivo de energía renovable;2.101.884
Barcelona;Total;Total;Total;2.239.582
Barcelona;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;35.483
Barcelona;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;20.320
Barcelona;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;3.984
Barcelona;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;746.076
Barcelona;Total;De 50.000 habitantes o menos;Total;805.863
Barcelona;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;50.814
Barcelona;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;26.003
Barcelona;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;1.095
Barcelona;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;1.355.808
Barcelona;Total;Más de 50.000 habitantes;Total;1.433.719
Barcelona;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;13.083
Barcelona;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;9.284
Barcelona;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Barcelona;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;350.511
Barcelona;Menos de 1.000 euros;Total;Total;372.991
Barcelona;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;7.355
Barcelona;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.224
Barcelona;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Barcelona;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;125.756
Barcelona;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;138.335
Barcelona;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;5.727
Barcelona;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;4.060
Barcelona;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Barcelona;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;224.755
Barcelona;Menos de 1.000 euros;Más de 50.000 habitantes;Total;234.656
Barcelona;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;14.280
Barcelona;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;9.566
Barcelona;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;686
Barcelona;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;430.834
Barcelona;De 1.000 euros a menos de 1.500 euros;Total;Total;455.365
Barcelona;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;5.027
Barcelona;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.458
Barcelona;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Barcelona;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;155.332
Barcelona;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;164.439
Barcelona;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;9.253
Barcelona;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;6.108
Barcelona;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Barcelona;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;275.502
Barcelona;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;290.926
Barcelona;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;12.745
Barcelona;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;7.058
Barcelona;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;1.480
Barcelona;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;371.718
Barcelona;De 1.500 euros a menos de 2.000 euros;Total;Total;393.000
Barcelona;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;4.512
Barcelona;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.571
Barcelona;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;1.480
Barcelona;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;129.114
Barcelona;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;138.676
Barcelona;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;8.232
Barcelona;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.487
Barcelona;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Barcelona;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;242.604
Barcelona;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;254.324
Barcelona;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;23.446
Barcelona;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;9.598
Barcelona;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;1.059
Barcelona;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;529.131
Barcelona;De 2.000 euros a menos de 3.000 euros;Total;Total;563.234
Barcelona;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;10.260
Barcelona;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.995
Barcelona;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;501
Barcelona;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;190.473
Barcelona;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;205.228
Barcelona;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;13.186
Barcelona;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.604
Barcelona;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;558
Barcelona;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;338.658
Barcelona;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;358.006
Barcelona;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;22.744
Barcelona;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;10.816
Barcelona;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;1.741
Barcelona;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;419.691
Barcelona;3.000 euros o más;Total;Total;454.992
Barcelona;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;8.328
Barcelona;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;4.073
Barcelona;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;1.382
