Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;23.627
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;3.946
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;1.413.337
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;1.496.218
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;65.969
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;27.931
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;1.459
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;1.597.640
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;1.693.000
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;205.767
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;75.356
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;12.896
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;3.855.703
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;Total;4.149.721
Total Nacional;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;97.699
Total Nacional;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;36.419
Total Nacional;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;7.625
Total Nacional;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;1.676.084
Total Nacional;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;1.817.826
Total Nacional;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;108.068
Total Nacional;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;38.937
Total Nacional;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;5.272
Total Nacional;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;2.179.619
Total Nacional;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;2.331.896
Total Nacional;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;164.485
Total Nacional;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;69.286
Total Nacional;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;14.456
Total Nacional;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;2.551.728
Total Nacional;3.000 euros o más;Total;Total;2.799.955
Total Nacional;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;64.378
Total Nacional;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;31.559
Total Nacional;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;8.624
Total Nacional;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;961.462
Total Nacional;3.000 euros o más;De 50.000 habitantes o menos;Total;1.066.023
Total Nacional;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;100.106
Total Nacional;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;37.728
Total Nacional;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;5.832
Total Nacional;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;1.590.266
Total Nacional;3.000 euros o más;Más de 50.000 habitantes;Total;1.733.932
Albacete;Total;Total;Un único tipo de dispositivo: Energía solar térmica;5.061
Albacete;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.193
Albacete;Total;Total;Combinación de varios tipos de dispositivos;342
Albacete;Total;Total;No dispone de dispositivo de energía renovable;146.254
Albacete;Total;Total;Total;152.850
Albacete;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.995
Albacete;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;848
Albacete;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;292
Albacete;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;80.459
Albacete;Total;De 50.000 habitantes o menos;Total;84.593
Albacete;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;2.066
Albacete;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;345
Albacete;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Albacete;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;65.796
Albacete;Total;Más de 50.000 habitantes;Total;68.257
Albacete;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;471
Albacete;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;386
Albacete;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Albacete;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;47.531
Albacete;Menos de 1.000 euros;Total;Total;48.485
Albacete;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;256
Albacete;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;386
