Provincia;Potencia kWh;Mes
 Madrid;140.96692307692308;April
 Madrid;153.88;May
 Madrid;154.69;June
 Madrid;169.62230769230771;July
 Madrid;165.9830769230769;August
 Madrid;145.85846153846154;September
 Madrid;125.32153846153847;October
 Madrid;98.13307692307693;November
 Madrid;97.33461538461538;December
Teruel;101.21269230769232;January
Teruel;109.77846153846153;February
Teruel;132.6846153846154;March
Teruel;136.17538461538462;April
Teruel;148.45615384615385;May
Teruel;146.81692307692308;June
Teruel;163.06230769230768;July
Teruel;156.79576923076922;August
Teruel;137.63961538461538;September
Teruel;125.5323076923077;October
Teruel;97.43153846153847;November
Teruel;96.7953846153846;December
Salamanca;93.74625;January
Salamanca;107.610625;February
Salamanca;132.60625;March
Salamanca;136.67875;April
Salamanca;152.299375;May
Salamanca;153.59125;June
Salamanca;170.89375;July
Salamanca;168.16;August
Salamanca;145.664375;September
Salamanca;122.31875;October
Salamanca;91.326875;November
Salamanca;88.281875;December
Ávila;92.97333333333333;January
Ávila;104.304;February
Ávila;129.31266666666667;March
Ávila;135.284;April
Ávila;150.602;May
Ávila;153.12;June
Ávila;170.60866666666666;July
Ávila;166.346;August
Ávila;142.99266666666665;September
Ávila;121.46133333333334;October
Ávila;89.59400000000001;November
Ávila;88.87133333333333;December
Guadalajara;99.34684210526315;January
Guadalajara;105.58421052631579;February
Guadalajara;130.64210526315787;March
Guadalajara;134.84;April
Guadalajara;149.1578947368421;May
Guadalajara;150.8257894736842;June
Guadalajara;168.86315789473684;July
Guadalajara;164.43526315789472;August
Guadalajara;141.93473684210528;September
Guadalajara;123.2721052631579;October
Guadalajara;94.51052631578948;November
Guadalajara;94.01578947368421;December
Tarragona;108.376;January
Tarragona;111.997;February
Tarragona;136.404;March
Tarragona;139.189;April
Tarragona;152.998;May
Tarragona;151.82;June
Tarragona;159.933;July
Tarragona;151.63299999999998;August
Tarragona;132.174;September
Tarragona;118.29;October
Tarragona;100.589;November
Tarragona;99.47200000000001;December
Segovia;85.81454545454545;January
Segovia;97.00272727272727;February
Segovia;124.34818181818181;March
Segovia;130.0890909090909;April
Segovia;145.35363636363635;May
Segovia;147.09363636363636;June
Segovia;167.58818181818182;July
Segovia;163.3509090909091;August
Segovia;138.85545454545456;September
Segovia;119.46909090909092;October
Segovia;84.3990909090909;November
Segovia;84.73272727272727;December
Soria;92.18411764705883;January
Soria;101.74176470588235;February
Soria;128.3523529411765;March
Soria;132.89882352941177;April
Soria;147.29705882352943;May
Soria;147.79352941176472;June
Soria;166.69176470588235;July
Soria;162.64000000000001;August
Soria;139.89294117647057;September
Soria;122.0664705882353;October
Soria;89.34411764705882;November
Soria;87.40235294117646;December
Zaragoza;100.98696969696971;January
Zaragoza;113.83727272727273;February
Zaragoza;137.78060606060606;March
Zaragoza;141.72363636363636;April
Zaragoza;154.83727272727273;May
Zaragoza;151.41939393939396;June
Zaragoza;167.22636363636366;July
Zaragoza;163.78727272727272;August
Zaragoza;144.10969696969696;September
Zaragoza;126.12424242424244;October
Zaragoza;97.90121212121211;November
Zaragoza;91.66060606060607;December
Zamora;88.13066666666667;January
Zamora;110.77666666666667;February
Zamora;137.04933333333335;March
Zamora;140.988;April
Zamora;156.21466666666666;May
Zamora;154.91533333333334;June
Zamora;172.23266666666666;July
Zamora;169.25866666666667;August
Zamora;149.01666666666668;September
Zamora;121.59266666666667;October
Zamora;91.64733333333334;November
Zamora;80.80666666666666;December
Valladolid;86.28846153846153;January
Valladolid;108.61076923076924;February
Valladolid;136.55846153846153;March
Valladolid;140.81692307692308;April
Valladolid;155.18769230769232;May
Valladolid;153.2846153846154;June
Valladolid;171.27384615384614;July
Valladolid;168.88384615384615;August
Valladolid;148.44538461538463;September
Valladolid;92.06769230769231;November
Valladolid;82.86461538461539;December
Valladolid;123.92916666666667;October
Lérida;89.87947368421052;January
Lérida;110.04052631578948;February
Lérida;137.92368421052632;March
Lérida;136.47263157894736;April
Lérida;148.78894736842105;May
Lérida;147.6742105263158;June
Lérida;161.35105263157894;July
Lérida;155.87947368421052;August
Lérida;135.7778947368421;September
Lérida;118.69684210526314;October
Lérida;91.05842105263157;November
Lérida;81.76210526315789;December
Barcelona;100.815;January
Barcelona;107.30666666666667;February
Barcelona;134.32583333333332;March
Barcelona;137.24;April
Barcelona;150.53666666666666;May
Barcelona;150.37833333333333;June
Barcelona;159.26166666666668;July
Barcelona;151.56583333333333;August
Barcelona;129.95166666666668;September
Barcelona;114.31416666666667;October
Barcelona;94.25583333333333;November
Barcelona;92.88166666666666;December
Burgos;74.64833333333333;January
Burgos;89.00208333333335;February
Burgos;119.44708333333334;March
Burgos;126.80000000000001;April
Burgos;144.04333333333332;May
Burgos;144.48499999999999;June
Burgos;164.11458333333334;July
Burgos;160.28291666666667;August
Burgos;135.75041666666667;September
Burgos;113.82375;October
Burgos;76.89791666666666;November
Burgos;72.24625;December
Huesca;95.26307692307692;January
Huesca;112.57192307692307;February
Huesca;137.2573076923077;March
Huesca;136.80346153846153;April
Huesca;150.12423076923076;May
Huesca;148.56923076923078;June
Huesca;164.31384615384616;July
Huesca;159.44192307692308;August
Huesca;138.0826923076923;September
Huesca;118.0653846153846;October
Huesca;93.57423076923077;November
Huesca;86.57423076923077;December
Palencia;80.52533333333332;January
Palencia;101.68266666666666;February
Palencia;132.76933333333332;March
Palencia;137.73733333333334;April
Palencia;153.72066666666666;May
Palencia;151.73333333333332;June
Palencia;171.17733333333334;July
Palencia;167.88666666666668;August
Palencia;145.36533333333333;September
Palencia;118.58999999999999;October
Palencia;85.87333333333332;November
Palencia;75.56;December
Gerona;97.50888888888888;January
Gerona;105.73333333333333;February
Gerona;128.95777777777778;March
Gerona;133.54333333333332;April
Gerona;144.36888888888888;May
Gerona;146.2788888888889;June
Gerona;155.05888888888887;July
Gerona;148.92666666666668;August
Gerona;128.31333333333336;September
Gerona;113.73111111111112;October
Gerona;91.53777777777778;November
Gerona;91.1211111111111;December
León;81.9405;January
León;100.86949999999999;February
León;130.2925;March
León;136.0325;April
León;150.4725;May
León;150.318;June
León;169.48;July
León;165.5165;August
León;141.656;September
León;111.75899999999999;October
León;82.704;November
León;74.25399999999999;December
La Rioja;74.33624999999999;January
La Rioja;88.2175;February
La Rioja;115.40625;March
La Rioja;119.97125;April
La Rioja;133.03;May
La Rioja;135.58125;June
La Rioja;156.69375;July
La Rioja;151.17375;August
La Rioja;127.51875;September
La Rioja;109.10375;October
La Rioja;71.6425;November
La Rioja;68.5875;December
Navarra;87.87;January
Navarra;101.48;February
Navarra;129.0;March
Navarra;134.26;April
Navarra;145.0;May
Navarra;145.52;June
Navarra;162.85;July
Navarra;158.38;August
Navarra;137.41;September
Navarra;116.38;October
Navarra;85.2;November
Navarra;76.39;December
Álava;66.19285714285715;January
Álava;80.39857142857143;February
Álava;109.33571428571429;March
Álava;119.27571428571427;April
Álava;132.09857142857143;May
Álava;133.99857142857144;June
Álava;149.9085714285714;July
Álava;145.15142857142857;August
Álava;123.97142857142856;September
Álava;102.33142857142857;October
Álava;66.63857142857144;November
Álava;63.91857142857143;December
Navarra;70.72;January
Navarra;86.175;February
Navarra;112.39833333333333;March
Navarra;121.15166666666666;April
Navarra;133.33666666666667;May
Navarra;136.46333333333334;June
Navarra;151.25;July
Navarra;148.01166666666666;August
Navarra;127.68;September
Navarra;104.01833333333333;October
Navarra;70.94166666666666;November
Navarra;67.04666666666667;December
Cantabria;54.21;January
Cantabria;71.655;February
Cantabria;104.06833333333333;March
Cantabria;113.32166666666667;April
Cantabria;127.87;May
Cantabria;128.785;June
Cantabria;147.30166666666668;July
Cantabria;141.30166666666668;August
Cantabria;120.19333333333333;September
Cantabria;94.50333333333333;October
Cantabria;57.73500000000001;November
Cantabria;51.35166666666667;December
Vizcaya;43.115;January
Vizcaya;64.47;February
Vizcaya;94.5;March
Vizcaya;104.78;April
Vizcaya;115.11;May
Vizcaya;115.14;June
Vizcaya;124.265;July
Vizcaya;121.06;August
Vizcaya;106.99000000000001;September
Vizcaya;86.315;October
Vizcaya;50.230000000000004;November
Vizcaya;37.435;December
Guipúzcoa;45.79;January
Guipúzcoa;64.965;February
Guipúzcoa;95.905;March
Guipúzcoa;105.79499999999999;April
Guipúzcoa;114.77000000000001;May
Guipúzcoa;115.08;June
Guipúzcoa;123.27000000000001;July
Guipúzcoa;121.105;August
Guipúzcoa;109.895;September
Guipúzcoa;84.43;October
Guipúzcoa;49.95;November
Guipúzcoa;42.415;December
