Provincias;Consumo eléctrico;Total
Cuenca;Viviendas con consumo mayor de 10.000 kwh;2.502
Guadalajara;Viviendas totales;187.779
Guadalajara;Viviendas vacías;42.591
Guadalajara;Mediana consumo anual;2.107
Guadalajara;Viviendas con bajo consumo;9.183
Guadalajara;Viviendas de uso esporádico;20.602
Guadalajara;Viviendas de uso esporádico (entre 251 y 500 kwh);10.863
Guadalajara;Viviendas de uso esporádico (entre 501 y 750 kwh);9.739
Guadalajara;Viviendas con cosumo entre 751 y 1.000 kwh;8.923
Guadalajara;Viviendas con cosumo entre 1.001 y 2.000 kwh;35.029
Guadalajara;Viviendas con cosumo entre 2.001 y 3.000 kwh;28.790
Guadalajara;Viviendas con cosumo entre 3.001 y 4.000 kwh;17.989
Guadalajara;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.710
Guadalajara;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.259
Guadalajara;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.032
Guadalajara;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.836
Guadalajara;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.246
Guadalajara;Viviendas con cosumo entre 9.001 y 10.000 kwh;818
Guadalajara;Viviendas con consumo mayor de 10.000 kwh;2.771
Toledo;Viviendas totales;439.385
Toledo;Viviendas vacías;88.755
Toledo;Mediana consumo anual;2.572
Toledo;Viviendas con bajo consumo;15.109
Toledo;Viviendas de uso esporádico;40.065
Toledo;Viviendas de uso esporádico (entre 251 y 500 kwh);21.010
Toledo;Viviendas de uso esporádico (entre 501 y 750 kwh);19.055
Toledo;Viviendas con cosumo entre 751 y 1.000 kwh;17.844
Toledo;Viviendas con cosumo entre 1.001 y 2.000 kwh;71.184
Toledo;Viviendas con cosumo entre 2.001 y 3.000 kwh;64.998
Toledo;Viviendas con cosumo entre 3.001 y 4.000 kwh;49.100
Toledo;Viviendas con cosumo entre 4.001 y 5.000 kwh;32.266
Toledo;Viviendas con cosumo entre 5.001 y 6.000 kwh;19.316
Toledo;Viviendas con cosumo entre 6.001 y 7.000 kwh;11.995
Toledo;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.761
Toledo;Viviendas con cosumo entre 8.001 y 9.000 kwh;5.344
Toledo;Viviendas con cosumo entre 9.001 y 10.000 kwh;3.779
Toledo;Viviendas con consumo mayor de 10.000 kwh;11.869
Barcelona;Viviendas totales;2.597.046
Barcelona;Viviendas vacías;213.464
Barcelona;Mediana consumo anual;2.229
Barcelona;Viviendas con bajo consumo;50.201
Barcelona;Viviendas de uso esporádico;166.016
Barcelona;Viviendas de uso esporádico (entre 251 y 500 kwh);72.872
Barcelona;Viviendas de uso esporádico (entre 501 y 750 kwh);93.144
Barcelona;Viviendas con cosumo entre 751 y 1.000 kwh;127.093
Barcelona;Viviendas con cosumo entre 1.001 y 2.000 kwh;713.154
Barcelona;Viviendas con cosumo entre 2.001 y 3.000 kwh;598.741
Barcelona;Viviendas con cosumo entre 3.001 y 4.000 kwh;336.109
Barcelona;Viviendas con cosumo entre 4.001 y 5.000 kwh;166.925
Barcelona;Viviendas con cosumo entre 5.001 y 6.000 kwh;85.043
Barcelona;Viviendas con cosumo entre 6.001 y 7.000 kwh;47.454
Barcelona;Viviendas con cosumo entre 7.001 y 8.000 kwh;28.267
Barcelona;Viviendas con cosumo entre 8.001 y 9.000 kwh;17.722
Barcelona;Viviendas con cosumo entre 9.001 y 10.000 kwh;12.060
Barcelona;Viviendas con consumo mayor de 10.000 kwh;34.797
Girona;Viviendas totales;507.421
Girona;Viviendas vacías;76.286
Girona;Mediana consumo anual;2.107
Girona;Viviendas con bajo consumo;21.277
Girona;Viviendas de uso esporádico;61.597
Girona;Viviendas de uso esporádico (entre 251 y 500 kwh);31.463
Girona;Viviendas de uso esporádico (entre 501 y 750 kwh);30.134
Girona;Viviendas con cosumo entre 751 y 1.000 kwh;28.219
Girona;Viviendas con cosumo entre 1.001 y 2.000 kwh;105.133
Girona;Viviendas con cosumo entre 2.001 y 3.000 kwh;81.844
Girona;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.743
Girona;Viviendas con cosumo entre 4.001 y 5.000 kwh;29.621
Girona;Viviendas con cosumo entre 5.001 y 6.000 kwh;17.369
Girona;Viviendas con cosumo entre 6.001 y 7.000 kwh;10.806
Girona;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.727
Girona;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.452
Girona;Viviendas con cosumo entre 9.001 y 10.000 kwh;3.126
Girona;Viviendas con consumo mayor de 10.000 kwh;9.221
Lleida;Viviendas totales;256.081
Lleida;Viviendas vacías;40.956
Lleida;Mediana consumo anual;2.253
Lleida;Viviendas con bajo consumo;9.746
Lleida;Viviendas de uso esporádico;24.527
Lleida;Viviendas de uso esporádico (entre 251 y 500 kwh);12.454
Lleida;Viviendas de uso esporádico (entre 501 y 750 kwh);12.073
Lleida;Viviendas con cosumo entre 751 y 1.000 kwh;12.367
Lleida;Viviendas con cosumo entre 1.001 y 2.000 kwh;53.142
Lleida;Viviendas con cosumo entre 2.001 y 3.000 kwh;44.396
Lleida;Viviendas con cosumo entre 3.001 y 4.000 kwh;28.228
Lleida;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.870
Lleida;Viviendas con cosumo entre 5.001 y 6.000 kwh;9.057
Lleida;Viviendas con cosumo entre 6.001 y 7.000 kwh;5.341
Lleida;Viviendas con cosumo entre 7.001 y 8.000 kwh;3.510
Lleida;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.344
Lleida;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.570
Lleida;Viviendas con consumo mayor de 10.000 kwh;5.027
Tarragona;Viviendas totales;554.579
Tarragona;Viviendas vacías;87.906
Tarragona;Mediana consumo anual;2.150
Tarragona;Viviendas con bajo consumo;25.885
Tarragona;Viviendas de uso esporádico;69.828
Tarragona;Viviendas de uso esporádico (entre 251 y 500 kwh);36.611
Tarragona;Viviendas de uso esporádico (entre 501 y 750 kwh);33.217
Tarragona;Viviendas con cosumo entre 751 y 1.000 kwh;29.802
Tarragona;Viviendas con cosumo entre 1.001 y 2.000 kwh;106.124
Tarragona;Viviendas con cosumo entre 2.001 y 3.000 kwh;88.225
Tarragona;Viviendas con cosumo entre 3.001 y 4.000 kwh;59.255
Tarragona;Viviendas con cosumo entre 4.001 y 5.000 kwh;35.413
Tarragona;Viviendas con cosumo entre 5.001 y 6.000 kwh;20.198
Tarragona;Viviendas con cosumo entre 6.001 y 7.000 kwh;11.657
Tarragona;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.722
Tarragona;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.111
Tarragona;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.707
Tarragona;Viviendas con consumo mayor de 10.000 kwh;6.746
Alicante/Alacant;Viviendas totales;1.350.006
Alicante/Alacant;Viviendas vacías;209.028
Alicante/Alacant;Mediana consumo anual;2.170
Alicante/Alacant;Viviendas con bajo consumo;70.478
Alicante/Alacant;Viviendas de uso esporádico;163.277
Alicante/Alacant;Viviendas de uso esporádico (entre 251 y 500 kwh);87.720
Alicante/Alacant;Viviendas de uso esporádico (entre 501 y 750 kwh);75.557
Alicante/Alacant;Viviendas con cosumo entre 751 y 1.000 kwh;69.795
Alicante/Alacant;Viviendas con cosumo entre 1.001 y 2.000 kwh;260.808
Alicante/Alacant;Viviendas con cosumo entre 2.001 y 3.000 kwh;221.835
Alicante/Alacant;Viviendas con cosumo entre 3.001 y 4.000 kwh;150.093
Alicante/Alacant;Viviendas con cosumo entre 4.001 y 5.000 kwh;87.381
Alicante/Alacant;Viviendas con cosumo entre 5.001 y 6.000 kwh;47.578
Alicante/Alacant;Viviendas con cosumo entre 6.001 y 7.000 kwh;25.497
Alicante/Alacant;Viviendas con cosumo entre 7.001 y 8.000 kwh;14.578
Alicante/Alacant;Viviendas con cosumo entre 8.001 y 9.000 kwh;8.906
Alicante/Alacant;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.611
Alicante/Alacant;Viviendas con consumo mayor de 10.000 kwh;15.141
Castellón/Castelló;Viviendas totales;446.872
Castellón/Castelló;Viviendas vacías;77.608
Castellón/Castelló;Mediana consumo anual;1.932
Castellón/Castelló;Viviendas con bajo consumo;27.521
Castellón/Castelló;Viviendas de uso esporádico;66.405
Castellón/Castelló;Viviendas de uso esporádico (entre 251 y 500 kwh);36.399
Castellón/Castelló;Viviendas de uso esporádico (entre 501 y 750 kwh);30.006
Castellón/Castelló;Viviendas con cosumo entre 751 y 1.000 kwh;25.092
Castellón/Castelló;Viviendas con cosumo entre 1.001 y 2.000 kwh;84.803
Castellón/Castelló;Viviendas con cosumo entre 2.001 y 3.000 kwh;68.690
Castellón/Castelló;Viviendas con cosumo entre 3.001 y 4.000 kwh;43.972
Castellón/Castelló;Viviendas con cosumo entre 4.001 y 5.000 kwh;24.298
Castellón/Castelló;Viviendas con cosumo entre 5.001 y 6.000 kwh;12.181
Castellón/Castelló;Viviendas con cosumo entre 6.001 y 7.000 kwh;6.364
Castellón/Castelló;Viviendas con cosumo entre 7.001 y 8.000 kwh;3.436
Castellón/Castelló;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.939
Castellón/Castelló;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.240
Castellón/Castelló;Viviendas con consumo mayor de 10.000 kwh;3.323
Valencia/València;Viviendas totales;1.488.908
Valencia/València;Viviendas vacías;172.575
Valencia/València;Mediana consumo anual;2.273
Valencia/València;Viviendas con bajo consumo;49.426
Valencia/València;Viviendas de uso esporádico;140.070
Valencia/València;Viviendas de uso esporádico (entre 251 y 500 kwh);69.748
Valencia/València;Viviendas de uso esporádico (entre 501 y 750 kwh);70.322
Valencia/València;Viviendas con cosumo entre 751 y 1.000 kwh;73.121
Valencia/València;Viviendas con cosumo entre 1.001 y 2.000 kwh;330.005
Valencia/València;Viviendas con cosumo entre 2.001 y 3.000 kwh;301.850
Valencia/València;Viviendas con cosumo entre 3.001 y 4.000 kwh;197.849
Valencia/València;Viviendas con cosumo entre 4.001 y 5.000 kwh;106.687
Valencia/València;Viviendas con cosumo entre 5.001 y 6.000 kwh;53.182
Valencia/València;Viviendas con cosumo entre 6.001 y 7.000 kwh;26.590
Valencia/València;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.610
Valencia/València;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.548
Valencia/València;Viviendas con cosumo entre 9.001 y 10.000 kwh;4.586
Valencia/València;Viviendas con consumo mayor de 10.000 kwh;11.809
Badajoz;Viviendas totales;398.348
Badajoz;Viviendas vacías;62.089
Badajoz;Mediana consumo anual;2.401
Badajoz;Viviendas con bajo consumo;17.573
Badajoz;Viviendas de uso esporádico;37.985
Badajoz;Viviendas de uso esporádico (entre 251 y 500 kwh);20.088
Badajoz;Viviendas de uso esporádico (entre 501 y 750 kwh);17.897
Badajoz;Viviendas con cosumo entre 751 y 1.000 kwh;17.386
Badajoz;Viviendas con cosumo entre 1.001 y 2.000 kwh;73.481
Badajoz;Viviendas con cosumo entre 2.001 y 3.000 kwh;72.426
Badajoz;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.565
Badajoz;Viviendas con cosumo entre 4.001 y 5.000 kwh;30.199
Badajoz;Viviendas con cosumo entre 5.001 y 6.000 kwh;15.627
Badajoz;Viviendas con cosumo entre 6.001 y 7.000 kwh;7.951
Badajoz;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.186
Badajoz;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.381
Badajoz;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.487
Badajoz;Viviendas con consumo mayor de 10.000 kwh;4.012
Cáceres;Viviendas totales;300.157
Cáceres;Viviendas vacías;61.335
Cáceres;Mediana consumo anual;2.052
Cáceres;Viviendas con bajo consumo;20.458
Cáceres;Viviendas de uso esporádico;36.159
Cáceres;Viviendas de uso esporádico (entre 251 y 500 kwh);20.097
Cáceres;Viviendas de uso esporádico (entre 501 y 750 kwh);16.062
Cáceres;Viviendas con cosumo entre 751 y 1.000 kwh;14.623
Cáceres;Viviendas con cosumo entre 1.001 y 2.000 kwh;55.671
Cáceres;Viviendas con cosumo entre 2.001 y 3.000 kwh;46.872
Cáceres;Viviendas con cosumo entre 3.001 y 4.000 kwh;29.205
Cáceres;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.277
Cáceres;Viviendas con cosumo entre 5.001 y 6.000 kwh;7.750
Cáceres;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.266
Cáceres;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.579
Cáceres;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.582
Cáceres;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.092
Cáceres;Viviendas con consumo mayor de 10.000 kwh;3.288
Coruña, A;Viviendas totales;686.961
Coruña, A;Viviendas vacías;163.164
Coruña, A;Mediana consumo anual;2.580
Coruña, A;Viviendas con bajo consumo;19.077
Coruña, A;Viviendas de uso esporádico;54.327
Coruña, A;Viviendas de uso esporádico (entre 251 y 500 kwh);27.891
Coruña, A;Viviendas de uso esporádico (entre 501 y 750 kwh);26.436
Coruña, A;Viviendas con cosumo entre 751 y 1.000 kwh;27.262
Coruña, A;Viviendas con cosumo entre 1.001 y 2.000 kwh;112.190
Coruña, A;Viviendas con cosumo entre 2.001 y 3.000 kwh;95.147
Coruña, A;Viviendas con cosumo entre 3.001 y 4.000 kwh;64.632
Coruña, A;Viviendas con cosumo entre 4.001 y 5.000 kwh;41.828
Coruña, A;Viviendas con cosumo entre 5.001 y 6.000 kwh;27.682
Coruña, A;Viviendas con cosumo entre 6.001 y 7.000 kwh;18.786
Coruña, A;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.684
Coruña, A;Viviendas con cosumo entre 8.001 y 9.000 kwh;10.217
Coruña, A;Viviendas con cosumo entre 9.001 y 10.000 kwh;7.922
Coruña, A;Viviendas con consumo mayor de 10.000 kwh;31.043
Lugo;Viviendas totales;269.067
Lugo;Viviendas vacías;100.441
Lugo;Mediana consumo anual;1.992
Lugo;Viviendas con bajo consumo;10.841
Lugo;Viviendas de uso esporádico;25.558
Lugo;Viviendas de uso esporádico (entre 251 y 500 kwh);13.452
Lugo;Viviendas de uso esporádico (entre 501 y 750 kwh);12.106
Lugo;Viviendas con cosumo entre 751 y 1.000 kwh;11.600
Lugo;Viviendas con cosumo entre 1.001 y 2.000 kwh;42.069
Lugo;Viviendas con cosumo entre 2.001 y 3.000 kwh;29.853
Lugo;Viviendas con cosumo entre 3.001 y 4.000 kwh;17.220
Lugo;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.873
Lugo;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.896
Lugo;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.006
Lugo;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.567
Lugo;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.990
Lugo;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.484
Lugo;Viviendas con consumo mayor de 10.000 kwh;5.669
Ourense;Viviendas totales;272.883
Ourense;Viviendas vacías;119.348
Ourense;Mediana consumo anual;2.184
Ourense;Viviendas con bajo consumo;9.911
Ourense;Viviendas de uso esporádico;20.860
Ourense;Viviendas de uso esporádico (entre 251 y 500 kwh);11.081
Ourense;Viviendas de uso esporádico (entre 501 y 750 kwh);9.779
Ourense;Viviendas con cosumo entre 751 y 1.000 kwh;9.557
Ourense;Viviendas con cosumo entre 1.001 y 2.000 kwh;35.671
Ourense;Viviendas con cosumo entre 2.001 y 3.000 kwh;27.221
Ourense;Viviendas con cosumo entre 3.001 y 4.000 kwh;16.803
Ourense;Viviendas con cosumo entre 4.001 y 5.000 kwh;9.833
Ourense;Viviendas con cosumo entre 5.001 y 6.000 kwh;5.948
Ourense;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.030
Ourense;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.759
Ourense;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.081
Ourense;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.657
Ourense;Viviendas con consumo mayor de 10.000 kwh;7.204
Pontevedra;Viviendas totales;528.828
Pontevedra;Viviendas vacías;123.417
Pontevedra;Mediana consumo anual;2.532
Pontevedra;Viviendas con bajo consumo;14.782
Pontevedra;Viviendas de uso esporádico;41.418
Pontevedra;Viviendas de uso esporádico (entre 251 y 500 kwh);21.493
Pontevedra;Viviendas de uso esporádico (entre 501 y 750 kwh);19.925
Pontevedra;Viviendas con cosumo entre 751 y 1.000 kwh;21.036
Pontevedra;Viviendas con cosumo entre 1.001 y 2.000 kwh;88.600
Pontevedra;Viviendas con cosumo entre 2.001 y 3.000 kwh;77.811
Pontevedra;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.503
Pontevedra;Viviendas con cosumo entre 4.001 y 5.000 kwh;33.541
Pontevedra;Viviendas con cosumo entre 5.001 y 6.000 kwh;21.458
Pontevedra;Viviendas con cosumo entre 6.001 y 7.000 kwh;14.031
Pontevedra;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.756
Pontevedra;Viviendas con cosumo entre 8.001 y 9.000 kwh;6.983
Pontevedra;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.109
Pontevedra;Viviendas con consumo mayor de 10.000 kwh;18.383
Madrid;Viviendas totales;2.956.941
Madrid;Viviendas vacías;187.858
Madrid;Mediana consumo anual;2.281
Madrid;Viviendas con bajo consumo;53.976
Madrid;Viviendas de uso esporádico;186.609
Madrid;Viviendas de uso esporádico (entre 251 y 500 kwh);84.014
Madrid;Viviendas de uso esporádico (entre 501 y 750 kwh);102.595
Madrid;Viviendas con cosumo entre 751 y 1.000 kwh;139.852
Madrid;Viviendas con cosumo entre 1.001 y 2.000 kwh;803.063
Madrid;Viviendas con cosumo entre 2.001 y 3.000 kwh;700.583
Madrid;Viviendas con cosumo entre 3.001 y 4.000 kwh;385.603
Madrid;Viviendas con cosumo entre 4.001 y 5.000 kwh;193.779
Madrid;Viviendas con cosumo entre 5.001 y 6.000 kwh;104.596
Madrid;Viviendas con cosumo entre 6.001 y 7.000 kwh;61.127
Madrid;Viviendas con cosumo entre 7.001 y 8.000 kwh;38.846
Madrid;Viviendas con cosumo entre 8.001 y 9.000 kwh;26.095
Madrid;Viviendas con cosumo entre 9.001 y 10.000 kwh;17.923
Madrid;Viviendas con consumo mayor de 10.000 kwh;57.031
Murcia;Viviendas totales;844.100
Murcia;Viviendas vacías;103.163
Murcia;Mediana consumo anual;2.487
Murcia;Viviendas con bajo consumo;30.030
Murcia;Viviendas de uso esporádico;85.245
Murcia;Viviendas de uso esporádico (entre 251 y 500 kwh);43.636
Murcia;Viviendas de uso esporádico (entre 501 y 750 kwh);41.609
Murcia;Viviendas con cosumo entre 751 y 1.000 kwh;40.119
Murcia;Viviendas con cosumo entre 1.001 y 2.000 kwh;156.152
Murcia;Viviendas con cosumo entre 2.001 y 3.000 kwh;145.255
Murcia;Viviendas con cosumo entre 3.001 y 4.000 kwh;110.133
Murcia;Viviendas con cosumo entre 4.001 y 5.000 kwh;71.912
Murcia;Viviendas con cosumo entre 5.001 y 6.000 kwh;42.758
Murcia;Viviendas con cosumo entre 6.001 y 7.000 kwh;23.722
Murcia;Viviendas con cosumo entre 7.001 y 8.000 kwh;13.251
Murcia;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.352
Murcia;Viviendas con cosumo entre 9.001 y 10.000 kwh;4.375
Murcia;Viviendas con consumo mayor de 10.000 kwh;10.633
Navarra;Viviendas totales;331.104
Navarra;Viviendas vacías;32.992
Navarra;Mediana consumo anual;1.952
Navarra;Viviendas con bajo consumo;12.218
Navarra;Viviendas de uso esporádico;32.351
Navarra;Viviendas de uso esporádico (entre 251 y 500 kwh);15.628
Navarra;Viviendas de uso esporádico (entre 501 y 750 kwh);16.723
Navarra;Viviendas con cosumo entre 751 y 1.000 kwh;19.818
Navarra;Viviendas con cosumo entre 1.001 y 2.000 kwh;95.058
Navarra;Viviendas con cosumo entre 2.001 y 3.000 kwh;73.476
Navarra;Viviendas con cosumo entre 3.001 y 4.000 kwh;35.754
Navarra;Viviendas con cosumo entre 4.001 y 5.000 kwh;14.410
Navarra;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.112
Navarra;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.060
Navarra;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.710
Navarra;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.088
Navarra;Viviendas con cosumo entre 9.001 y 10.000 kwh;735
Navarra;Viviendas con consumo mayor de 10.000 kwh;2.322
Araba/Álava;Viviendas totales;168.086
Araba/Álava;Viviendas vacías;11.072
Araba/Álava;Mediana consumo anual;1.693
Araba/Álava;Viviendas con bajo consumo;6.012
Araba/Álava;Viviendas de uso esporádico;17.848
Araba/Álava;Viviendas de uso esporádico (entre 251 y 500 kwh);7.911
Araba/Álava;Viviendas de uso esporádico (entre 501 y 750 kwh);9.937
Araba/Álava;Viviendas con cosumo entre 751 y 1.000 kwh;13.516
Araba/Álava;Viviendas con cosumo entre 1.001 y 2.000 kwh;61.499
Araba/Álava;Viviendas con cosumo entre 2.001 y 3.000 kwh;36.032
Araba/Álava;Viviendas con cosumo entre 3.001 y 4.000 kwh;12.518
Araba/Álava;Viviendas con cosumo entre 4.001 y 5.000 kwh;4.400
Araba/Álava;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.907
Araba/Álava;Viviendas con cosumo entre 6.001 y 7.000 kwh;923
Araba/Álava;Viviendas con cosumo entre 7.001 y 8.000 kwh;604
Araba/Álava;Viviendas con cosumo entre 8.001 y 9.000 kwh;397
Araba/Álava;Viviendas con cosumo entre 9.001 y 10.000 kwh;283
Araba/Álava;Viviendas con consumo mayor de 10.000 kwh;1.075
Gipuzkoa;Viviendas totales;350.286
Gipuzkoa;Viviendas vacías;24.762
Gipuzkoa;Mediana consumo anual;1.972
Gipuzkoa;Viviendas con bajo consumo;10.758
Gipuzkoa;Viviendas de uso esporádico;31.313
Gipuzkoa;Viviendas de uso esporádico (entre 251 y 500 kwh);14.530
Gipuzkoa;Viviendas de uso esporádico (entre 501 y 750 kwh);16.783
Gipuzkoa;Viviendas con cosumo entre 751 y 1.000 kwh;20.948
Gipuzkoa;Viviendas con cosumo entre 1.001 y 2.000 kwh;108.302
Gipuzkoa;Viviendas con cosumo entre 2.001 y 3.000 kwh;80.935
Gipuzkoa;Viviendas con cosumo entre 3.001 y 4.000 kwh;35.919
Gipuzkoa;Viviendas con cosumo entre 4.001 y 5.000 kwh;15.784
Gipuzkoa;Viviendas con cosumo entre 5.001 y 6.000 kwh;8.077
Gipuzkoa;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.720
Gipuzkoa;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.842
Gipuzkoa;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.718
Gipuzkoa;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.059
Gipuzkoa;Viviendas con consumo mayor de 10.000 kwh;3.149
Bizkaia;Viviendas totales;556.704
Bizkaia;Viviendas vacías;34.118
Bizkaia;Mediana consumo anual;1.809
Bizkaia;Viviendas con bajo consumo;13.388
Bizkaia;Viviendas de uso esporádico;55.286
Bizkaia;Viviendas de uso esporádico (entre 251 y 500 kwh);24.893
Bizkaia;Viviendas de uso esporádico (entre 501 y 750 kwh);30.393
Bizkaia;Viviendas con cosumo entre 751 y 1.000 kwh;38.339
Bizkaia;Viviendas con cosumo entre 1.001 y 2.000 kwh;197.699
Bizkaia;Viviendas con cosumo entre 2.001 y 3.000 kwh;134.542
Bizkaia;Viviendas con cosumo entre 3.001 y 4.000 kwh;51.002
Bizkaia;Viviendas con cosumo entre 4.001 y 5.000 kwh;14.503
Bizkaia;Viviendas con cosumo entre 5.001 y 6.000 kwh;6.722
Bizkaia;Viviendas con cosumo entre 6.001 y 7.000 kwh;3.467
Bizkaia;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.978
Bizkaia;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.300
Bizkaia;Viviendas con cosumo entre 9.001 y 10.000 kwh;934
Bizkaia;Viviendas con consumo mayor de 10.000 kwh;3.426
Rioja, La;Viviendas totales;211.333
Rioja, La;Viviendas vacías;25.934
Rioja, La;Mediana consumo anual;1.656
Rioja, La;Viviendas con bajo consumo;13.707
Rioja, La;Viviendas de uso esporádico;31.764
Rioja, La;Viviendas de uso esporádico (entre 251 y 500 kwh);16.758
Rioja, La;Viviendas de uso esporádico (entre 501 y 750 kwh);15.006
Rioja, La;Viviendas con cosumo entre 751 y 1.000 kwh;14.412
Rioja, La;Viviendas con cosumo entre 1.001 y 2.000 kwh;58.824
Rioja, La;Viviendas con cosumo entre 2.001 y 3.000 kwh;38.946
Rioja, La;Viviendas con cosumo entre 3.001 y 4.000 kwh;15.479
Rioja, La;Viviendas con cosumo entre 4.001 y 5.000 kwh;5.566
Rioja, La;Viviendas con cosumo entre 5.001 y 6.000 kwh;2.421
Rioja, La;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.237
Rioja, La;Viviendas con cosumo entre 7.001 y 8.000 kwh;737
Rioja, La;Viviendas con cosumo entre 8.001 y 9.000 kwh;525
Rioja, La;Viviendas con cosumo entre 9.001 y 10.000 kwh;385
Rioja, La;Viviendas con consumo mayor de 10.000 kwh;1.396
