Provincias;Consumo eléctrico;Total
Jaén;Viviendas con cosumo entre 6.001 y 7.000 kwh;13.174
Jaén;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.342
Jaén;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.100
Jaén;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.463
Jaén;Viviendas con consumo mayor de 10.000 kwh;5.556
Málaga;Viviendas totales;996.557
Málaga;Viviendas vacías;152.774
Málaga;Mediana consumo anual;2.353
Málaga;Viviendas con bajo consumo;29.160
Málaga;Viviendas de uso esporádico;89.731
Málaga;Viviendas de uso esporádico (entre 251 y 500 kwh);44.857
Málaga;Viviendas de uso esporádico (entre 501 y 750 kwh);44.874
Málaga;Viviendas con cosumo entre 751 y 1.000 kwh;46.195
Málaga;Viviendas con cosumo entre 1.001 y 2.000 kwh;201.833
Málaga;Viviendas con cosumo entre 2.001 y 3.000 kwh;181.536
Málaga;Viviendas con cosumo entre 3.001 y 4.000 kwh;123.428
Málaga;Viviendas con cosumo entre 4.001 y 5.000 kwh;71.714
Málaga;Viviendas con cosumo entre 5.001 y 6.000 kwh;38.848
Málaga;Viviendas con cosumo entre 6.001 y 7.000 kwh;21.304
Málaga;Viviendas con cosumo entre 7.001 y 8.000 kwh;12.469
Málaga;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.615
Málaga;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.038
Málaga;Viviendas con consumo mayor de 10.000 kwh;14.912
Sevilla;Viviendas totales;912.899
Sevilla;Viviendas vacías;97.189
Sevilla;Mediana consumo anual;2.858
Sevilla;Viviendas con bajo consumo;15.806
Sevilla;Viviendas de uso esporádico;53.159
Sevilla;Viviendas de uso esporádico (entre 251 y 500 kwh);25.832
Sevilla;Viviendas de uso esporádico (entre 501 y 750 kwh);27.327
Sevilla;Viviendas con cosumo entre 751 y 1.000 kwh;30.307
Sevilla;Viviendas con cosumo entre 1.001 y 2.000 kwh;157.381
Sevilla;Viviendas con cosumo entre 2.001 y 3.000 kwh;184.883
Sevilla;Viviendas con cosumo entre 3.001 y 4.000 kwh;154.796
Sevilla;Viviendas con cosumo entre 4.001 y 5.000 kwh;98.181
Sevilla;Viviendas con cosumo entre 5.001 y 6.000 kwh;53.444
Sevilla;Viviendas con cosumo entre 6.001 y 7.000 kwh;27.914
Sevilla;Viviendas con cosumo entre 7.001 y 8.000 kwh;14.586
Sevilla;Viviendas con cosumo entre 8.001 y 9.000 kwh;8.109
Sevilla;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.002
Sevilla;Viviendas con consumo mayor de 10.000 kwh;12.142
Huesca;Viviendas totales;171.843
Huesca;Viviendas vacías;29.579
Huesca;Mediana consumo anual;1.747
Huesca;Viviendas con bajo consumo;11.922
Huesca;Viviendas de uso esporádico;27.057
Huesca;Viviendas de uso esporádico (entre 251 y 500 kwh);14.684
Huesca;Viviendas de uso esporádico (entre 501 y 750 kwh);12.373
Huesca;Viviendas con cosumo entre 751 y 1.000 kwh;10.551
Huesca;Viviendas con cosumo entre 1.001 y 2.000 kwh;36.029
Huesca;Viviendas con cosumo entre 2.001 y 3.000 kwh;25.748
Huesca;Viviendas con cosumo entre 3.001 y 4.000 kwh;13.818
Huesca;Viviendas con cosumo entre 4.001 y 5.000 kwh;6.866
Huesca;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.486
Huesca;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.971
Huesca;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.306
Huesca;Viviendas con cosumo entre 8.001 y 9.000 kwh;896
Huesca;Viviendas con cosumo entre 9.001 y 10.000 kwh;604
Huesca;Viviendas con consumo mayor de 10.000 kwh;2.010
Teruel;Viviendas totales;125.711
Teruel;Viviendas vacías;33.127
Teruel;Mediana consumo anual;1.639
Teruel;Viviendas con bajo consumo;11.470
Teruel;Viviendas de uso esporádico;19.125
Teruel;Viviendas de uso esporádico (entre 251 y 500 kwh);10.876
Teruel;Viviendas de uso esporádico (entre 501 y 750 kwh);8.249
