Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Ciudad Real;De 1.000 euros a menos de 1.500 euros;No;51470
Ciudad Real;De 1.000 euros a menos de 1.500 euros;Si;2028
Ciudad Real;De 1.500 euros a menos de 2.000 euros;No;29330
Ciudad Real;De 1.500 euros a menos de 2.000 euros;Si;1109
Ciudad Real;De 2.000 euros a menos de 3.000 euros;No;27448
Ciudad Real;De 2.000 euros a menos de 3.000 euros;Si;2789
Ciudad Real;Menos de 1.000 euros;No;60049
Ciudad Real;Menos de 1.000 euros;Si;1123
Coruña, A;3.000 euros o más;No;57571
Coruña, A;3.000 euros o más;Si;3546
Coruña, A;De 1.000 euros a menos de 1.500 euros;No;94430
Coruña, A;De 1.000 euros a menos de 1.500 euros;Si;2407
Coruña, A;De 1.500 euros a menos de 2.000 euros;No;80630
Coruña, A;De 1.500 euros a menos de 2.000 euros;Si;3203
Coruña, A;De 2.000 euros a menos de 3.000 euros;No;102096
Coruña, A;De 2.000 euros a menos de 3.000 euros;Si;5796
Coruña, A;Menos de 1.000 euros;No;105861
Coruña, A;Menos de 1.000 euros;Si;2279
Cuenca;3.000 euros o más;No;6013
Cuenca;3.000 euros o más;Si;198
Cuenca;De 1.000 euros a menos de 1.500 euros;No;19159
Cuenca;De 1.000 euros a menos de 1.500 euros;Si;639
Cuenca;De 1.500 euros a menos de 2.000 euros;No;12069
Cuenca;De 1.500 euros a menos de 2.000 euros;Si;520
Cuenca;De 2.000 euros a menos de 3.000 euros;No;11640
Cuenca;De 2.000 euros a menos de 3.000 euros;Si;1196
Cuenca;Menos de 1.000 euros;No;27049
Cuenca;Menos de 1.000 euros;Si;1102
Cáceres;3.000 euros o más;No;12752
Cáceres;3.000 euros o más;Si;922
Cáceres;De 1.000 euros a menos de 1.500 euros;No;39847
Cáceres;De 1.000 euros a menos de 1.500 euros;Si;1800
Cáceres;De 1.500 euros a menos de 2.000 euros;No;23769
Cáceres;De 1.500 euros a menos de 2.000 euros;Si;1673
Cáceres;De 2.000 euros a menos de 3.000 euros;No;21450
Cáceres;De 2.000 euros a menos de 3.000 euros;Si;1674
Cáceres;Menos de 1.000 euros;No;59560
Cáceres;Menos de 1.000 euros;Si;1739
Cádiz;3.000 euros o más;No;37724
Cádiz;3.000 euros o más;Si;6091
Cádiz;De 1.000 euros a menos de 1.500 euros;No;121633
Cádiz;De 1.000 euros a menos de 1.500 euros;Si;8340
Cádiz;De 1.500 euros a menos de 2.000 euros;No;76837
Cádiz;De 1.500 euros a menos de 2.000 euros;Si;6728
Cádiz;De 2.000 euros a menos de 3.000 euros;No;74371
Cádiz;De 2.000 euros a menos de 3.000 euros;Si;10469
Cádiz;Menos de 1.000 euros;No;128934
Cádiz;Menos de 1.000 euros;Si;7678
Córdoba;3.000 euros o más;No;26917
Córdoba;3.000 euros o más;Si;3249
Córdoba;De 1.000 euros a menos de 1.500 euros;No;80557
Córdoba;De 1.000 euros a menos de 1.500 euros;Si;3165
Córdoba;De 1.500 euros a menos de 2.000 euros;No;46049
Córdoba;De 1.500 euros a menos de 2.000 euros;Si;2945
Córdoba;De 2.000 euros a menos de 3.000 euros;No;47225
Córdoba;De 2.000 euros a menos de 3.000 euros;Si;6192
Córdoba;Menos de 1.000 euros;No;88306
