Provincias;Edad (grupos quinquenales);Total
Sevilla;De 75 a 79 años  ;69.225
Sevilla;De 80 a 84 años  ;43.970
Sevilla;De 85 a 89 años  ;30.807
Sevilla;De 90 a 94 años  ;12.283
Sevilla;De 95 a 99 años  ;2.595
Sevilla;100 y más años;636
Huesca;De 0 a 4 años;8.456
Huesca;De 5 a 9 años;10.137
Huesca;De 10 a 14 años  ;11.011
Huesca;De 15 a 19 años  ;10.665
Huesca;De 20 a 24 años;10.986
Huesca;De 25 a 29 años;11.330
Huesca;De 30 a 34 años;12.148
Huesca;De 35 a 39 años;14.048
Huesca;De 40 a 44 años;17.610
Huesca;De 45 a 49 años;18.019
Huesca;De 50 a 54 años;17.310
Huesca;De 55 a 59 años;17.110
Huesca;De 60 a 64 años;15.605
Huesca;De 65 a 69 años;12.942
Huesca;De 70 a 74 años  ;10.991
Huesca;De 75 a 79 años  ;9.394
Huesca;De 80 a 84 años  ;6.617
Huesca;De 85 a 89 años  ;6.532
Huesca;De 90 a 94 años  ;3.414
Huesca;De 95 a 99 años  ;981
Huesca;100 y más años;150
Teruel;De 0 a 4 años;4.929
Teruel;De 5 a 9 años;5.851
Teruel;De 10 a 14 años  ;6.429
Teruel;De 15 a 19 años  ;6.131
Teruel;De 20 a 24 años;6.593
Teruel;De 25 a 29 años;6.810
Teruel;De 30 a 34 años;7.360
Teruel;De 35 a 39 años;8.023
Teruel;De 40 a 44 años;9.495
Teruel;De 45 a 49 años;9.765
Teruel;De 50 a 54 años;10.094
Teruel;De 55 a 59 años;10.619
Teruel;De 60 a 64 años;9.989
Teruel;De 65 a 69 años;7.872
Teruel;De 70 a 74 años  ;6.609
Teruel;De 75 a 79 años  ;5.642
Teruel;De 80 a 84 años  ;4.414
Teruel;De 85 a 89 años  ;4.575
Teruel;De 90 a 94 años  ;2.501
Teruel;De 95 a 99 años  ;625
Teruel;100 y más años;95
Zaragoza;De 0 a 4 años;36.397
Zaragoza;De 5 a 9 años;45.265
Zaragoza;De 10 a 14 años  ;50.170
Zaragoza;De 15 a 19 años  ;48.515
Zaragoza;De 20 a 24 años;47.253
Zaragoza;De 25 a 29 años;48.302
Zaragoza;De 30 a 34 años;52.173
Zaragoza;De 35 a 39 años;60.505
Zaragoza;De 40 a 44 años;75.667
Zaragoza;De 45 a 49 años;81.499
Zaragoza;De 50 a 54 años;75.973
Zaragoza;De 55 a 59 años;71.000
Zaragoza;De 60 a 64 años;64.139
Zaragoza;De 65 a 69 años;53.855
Zaragoza;De 70 a 74 años  ;47.722
Zaragoza;De 75 a 79 años  ;40.934
Zaragoza;De 80 a 84 años  ;27.887
Zaragoza;De 85 a 89 años  ;24.106
Zaragoza;De 90 a 94 años  ;11.680
Zaragoza;De 95 a 99 años  ;2.953
Zaragoza;100 y más años;443
Asturias;De 0 a 4 años;27.021
Asturias;De 5 a 9 años;35.383
Asturias;De 10 a 14 años  ;41.670
Asturias;De 15 a 19 años  ;40.379
Asturias;De 20 a 24 años;38.823
Asturias;De 25 a 29 años;38.904
Asturias;De 30 a 34 años;44.785
Asturias;De 35 a 39 años;58.462
Asturias;De 40 a 44 años;77.593
Asturias;De 45 a 49 años;85.750
Asturias;De 50 a 54 años;81.042
Asturias;De 55 a 59 años;80.773
Asturias;De 60 a 64 años;81.245
Asturias;De 65 a 69 años;72.662
Asturias;De 70 a 74 años  ;63.599
Asturias;De 75 a 79 años  ;51.379
Asturias;De 80 a 84 años  ;33.460
Asturias;De 85 a 89 años  ;31.394
Asturias;De 90 a 94 años  ;15.568
Asturias;De 95 a 99 años  ;4.108
Asturias;100 y más años;686
Cantabria;De 0 a 4 años;18.780
Cantabria;De 5 a 9 años;24.625
Cantabria;De 10 a 14 años  ;29.112
Cantabria;De 15 a 19 años  ;28.342
Cantabria;De 20 a 24 años;25.770
Cantabria;De 25 a 29 años;25.282
Cantabria;De 30 a 34 años;28.772
Cantabria;De 35 a 39 años;36.337
Cantabria;De 40 a 44 años;47.721
Cantabria;De 45 a 49 años;50.120
Cantabria;De 50 a 54 años;46.775
Cantabria;De 55 a 59 años;44.900
Cantabria;De 60 a 64 años;43.801
Cantabria;De 65 a 69 años;37.234
Cantabria;De 70 a 74 años  ;32.303
Cantabria;De 75 a 79 años  ;24.500
Cantabria;De 80 a 84 años  ;16.553
Cantabria;De 85 a 89 años  ;14.730
Cantabria;De 90 a 94 años  ;7.393
Cantabria;De 95 a 99 años  ;2.034
Cantabria;100 y más años;318
Ávila;De 0 a 4 años;4.674
Ávila;De 5 a 9 años;6.318
Ávila;De 10 a 14 años  ;7.176
Ávila;De 15 a 19 años  ;6.983
Ávila;De 20 a 24 años;7.102
Ávila;De 25 a 29 años;7.196
Ávila;De 30 a 34 años;7.618
Ávila;De 35 a 39 años;8.746
Ávila;De 40 a 44 años;10.876
Ávila;De 45 a 49 años;11.845
Ávila;De 50 a 54 años;12.298
Ávila;De 55 a 59 años;13.049
Ávila;De 60 a 64 años;12.404
Ávila;De 65 a 69 años;10.094
Ávila;De 70 a 74 años  ;8.787
Ávila;De 75 a 79 años  ;7.650
Ávila;De 80 a 84 años  ;5.849
Ávila;De 85 a 89 años  ;5.493
Ávila;De 90 a 94 años  ;2.971
Ávila;De 95 a 99 años  ;858
Ávila;100 y más años;153
Burgos;De 0 a 4 años;11.489
Burgos;De 5 a 9 años;15.089
Burgos;De 10 a 14 años  ;17.027
Burgos;De 15 a 19 años  ;16.207
Burgos;De 20 a 24 años;16.281
Burgos;De 25 a 29 años;15.773
Burgos;De 30 a 34 años;17.580
Burgos;De 35 a 39 años;20.699
Burgos;De 40 a 44 años;25.854
