Provincias;Edad (grupos quinquenales);Total
Valencia/València;De 5 a 9 años;122.891
Valencia/València;De 10 a 14 años  ;142.288
Valencia/València;De 15 a 19 años  ;139.475
Valencia/València;De 20 a 24 años;133.804
Valencia/València;De 25 a 29 años;136.944
Valencia/València;De 30 a 34 años;146.255
Valencia/València;De 35 a 39 años;168.939
Valencia/València;De 40 a 44 años;215.270
Valencia/València;De 45 a 49 años;223.992
Valencia/València;De 50 a 54 años;207.729
Valencia/València;De 55 a 59 años;191.423
Valencia/València;De 60 a 64 años;169.245
Valencia/València;De 65 a 69 años;139.452
Valencia/València;De 70 a 74 años  ;122.404
Valencia/València;De 75 a 79 años  ;99.615
Valencia/València;De 80 a 84 años  ;71.005
Valencia/València;De 85 a 89 años  ;50.102
Valencia/València;De 90 a 94 años  ;21.894
Valencia/València;De 95 a 99 años  ;5.342
Valencia/València;100 y más años;813
Badajoz;De 0 a 4 años;25.743
Badajoz;De 5 a 9 años;30.557
Badajoz;De 10 a 14 años  ;34.831
Badajoz;De 15 a 19 años  ;34.483
Badajoz;De 20 a 24 años;35.293
Badajoz;De 25 a 29 años;36.727
Badajoz;De 30 a 34 años;39.991
Badajoz;De 35 a 39 años;43.035
Badajoz;De 40 a 44 años;48.953
Badajoz;De 45 a 49 años;51.878
Badajoz;De 50 a 54 años;52.358
Badajoz;De 55 a 59 años;52.619
Badajoz;De 60 a 64 años;46.240
Badajoz;De 65 a 69 años;35.339
Badajoz;De 70 a 74 años  ;31.060
Badajoz;De 75 a 79 años  ;26.125
Badajoz;De 80 a 84 años  ;17.832
Badajoz;De 85 a 89 años  ;15.757
Badajoz;De 90 a 94 años  ;6.429
Badajoz;De 95 a 99 años  ;1.524
Badajoz;100 y más años;197
Cáceres;De 0 a 4 años;12.336
Cáceres;De 5 a 9 años;15.260
Cáceres;De 10 a 14 años  ;17.713
Cáceres;De 15 a 19 años  ;18.334
Cáceres;De 20 a 24 años;18.707
Cáceres;De 25 a 29 años;18.993
Cáceres;De 30 a 34 años;20.932
Cáceres;De 35 a 39 años;23.369
Cáceres;De 40 a 44 años;27.083
Cáceres;De 45 a 49 años;28.699
Cáceres;De 50 a 54 años;30.655
Cáceres;De 55 a 59 años;32.818
Cáceres;De 60 a 64 años;30.446
Cáceres;De 65 a 69 años;23.676
Cáceres;De 70 a 74 años  ;19.260
Cáceres;De 75 a 79 años  ;17.161
Cáceres;De 80 a 84 años  ;12.823
Cáceres;De 85 a 89 años  ;12.215
Cáceres;De 90 a 94 años  ;5.602
Cáceres;De 95 a 99 años  ;1.438
Cáceres;100 y más años;285
Coruña, A;De 0 a 4 años;35.201
Coruña, A;De 5 a 9 años;44.804
Coruña, A;De 10 a 14 años  ;49.629
Coruña, A;De 15 a 19 años  ;47.416
Coruña, A;De 20 a 24 años;45.939
Coruña, A;De 25 a 29 años;48.099
Coruña, A;De 30 a 34 años;55.249
Coruña, A;De 35 a 39 años;68.879
Coruña, A;De 40 a 44 años;90.538
Coruña, A;De 45 a 49 años;95.586
Coruña, A;De 50 a 54 años;89.381
Coruña, A;De 55 a 59 años;83.632
Coruña, A;De 60 a 64 años;78.828
Coruña, A;De 65 a 69 años;70.094
Coruña, A;De 70 a 74 años  ;64.685
Coruña, A;De 75 a 79 años  ;57.599
Coruña, A;De 80 a 84 años  ;38.842
Coruña, A;De 85 a 89 años  ;34.803
Coruña, A;De 90 a 94 años  ;15.410
Coruña, A;De 95 a 99 años  ;3.920
Coruña, A;100 y más años;646
Lugo;De 0 a 4 años;9.164
Lugo;De 5 a 9 años;11.250
Lugo;De 10 a 14 años  ;11.762
Lugo;De 15 a 19 años  ;11.506
Lugo;De 20 a 24 años;12.016
Lugo;De 25 a 29 años;13.289
Lugo;De 30 a 34 años;15.823
Lugo;De 35 a 39 años;19.271
Lugo;De 40 a 44 años;23.775
Lugo;De 45 a 49 años;24.465
Lugo;De 50 a 54 años;24.687
Lugo;De 55 a 59 años;25.218
Lugo;De 60 a 64 años;24.784
Lugo;De 65 a 69 años;21.956
Lugo;De 70 a 74 años  ;19.358
Lugo;De 75 a 79 años  ;18.149
Lugo;De 80 a 84 años  ;14.375
Lugo;De 85 a 89 años  ;13.860
Lugo;De 90 a 94 años  ;7.052
Lugo;De 95 a 99 años  ;1.916
Lugo;100 y más años;313
Ourense;De 0 a 4 años;7.817
Ourense;De 5 a 9 años;10.004
Ourense;De 10 a 14 años  ;11.261
Ourense;De 15 a 19 años  ;11.201
Ourense;De 20 a 24 años;11.391
Ourense;De 25 a 29 años;12.611
Ourense;De 30 a 34 años;14.129
Ourense;De 35 a 39 años;16.996
Ourense;De 40 a 44 años;21.175
Ourense;De 45 a 49 años;22.589
Ourense;De 50 a 54 años;22.809
Ourense;De 55 a 59 años;22.430
Ourense;De 60 a 64 años;22.800
Ourense;De 65 a 69 años;20.580
Ourense;De 70 a 74 años  ;20.114
Ourense;De 75 a 79 años  ;19.344
Ourense;De 80 a 84 años  ;14.372
Ourense;De 85 a 89 años  ;13.831
Ourense;De 90 a 94 años  ;6.550
Ourense;De 95 a 99 años  ;1.889
Ourense;100 y más años;387
Pontevedra;De 0 a 4 años;30.644
Pontevedra;De 5 a 9 años;38.410
Pontevedra;De 10 a 14 años  ;44.800
Pontevedra;De 15 a 19 años  ;43.971
Pontevedra;De 20 a 24 años;41.747
Pontevedra;De 25 a 29 años;43.135
Pontevedra;De 30 a 34 años;48.463
Pontevedra;De 35 a 39 años;58.646
Pontevedra;De 40 a 44 años;78.730
Pontevedra;De 45 a 49 años;83.250
Pontevedra;De 50 a 54 años;76.441
Pontevedra;De 55 a 59 años;68.171
Pontevedra;De 60 a 64 años;64.022
Pontevedra;De 65 a 69 años;56.909
Pontevedra;De 70 a 74 años  ;51.541
Pontevedra;De 75 a 79 años  ;44.500
Pontevedra;De 80 a 84 años  ;29.465
Pontevedra;De 85 a 89 años  ;25.217
Pontevedra;De 90 a 94 años  ;11.277
Pontevedra;De 95 a 99 años  ;2.983
Pontevedra;100 y más años;693
Madrid;De 0 a 4 años;275.142
Madrid;De 5 a 9 años;333.181
Madrid;De 10 a 14 años  ;363.490
Madrid;De 15 a 19 años  ;352.011
Madrid;De 20 a 24 años;351.780
Madrid;De 25 a 29 años;388.911
Madrid;De 30 a 34 años;421.464
Madrid;De 35 a 39 años;470.648
Madrid;De 40 a 44 años;557.571
Madrid;De 45 a 49 años;588.892
Madrid;De 50 a 54 años;530.482
Madrid;De 55 a 59 años;475.944
Madrid;De 60 a 64 años;404.511
Madrid;De 65 a 69 años;329.303
Madrid;De 70 a 74 años  ;294.514
Madrid;De 75 a 79 años  ;242.218
Madrid;De 80 a 84 años  ;163.620
Madrid;De 85 a 89 años  ;126.636
Madrid;De 90 a 94 años  ;60.952
Madrid;De 95 a 99 años  ;16.451
Madrid;100 y más años;2.615
Murcia;De 0 a 4 años;72.239
Murcia;De 5 a 9 años;85.055
Murcia;De 10 a 14 años  ;93.554
Murcia;De 15 a 19 años  ;90.398
Murcia;De 20 a 24 años;88.001
Murcia;De 25 a 29 años;87.601
Murcia;De 30 a 34 años;93.937
Murcia;De 35 a 39 años;104.737
Murcia;De 40 a 44 años;128.616
Murcia;De 45 a 49 años;127.847
Murcia;De 50 a 54 años;117.358
Murcia;De 55 a 59 años;105.976
Murcia;De 60 a 64 años;89.720
Murcia;De 65 a 69 años;68.983
Murcia;De 70 a 74 años  ;59.387
Murcia;De 75 a 79 años  ;46.825
Murcia;De 80 a 84 años  ;34.150
Murcia;De 85 a 89 años  ;24.445
Murcia;De 90 a 94 años  ;10.497
Murcia;De 95 a 99 años  ;2.278
Murcia;100 y más años;274
Navarra;De 0 a 4 años;27.474
Navarra;De 5 a 9 años;34.001
Navarra;De 10 a 14 años  ;37.013
Navarra;De 15 a 19 años  ;36.210
Navarra;De 20 a 24 años;35.849
Navarra;De 25 a 29 años;34.367
Navarra;De 30 a 34 años;35.432
Navarra;De 35 a 39 años;41.020
Navarra;De 40 a 44 años;51.436
Navarra;De 45 a 49 años;54.970
Navarra;De 50 a 54 años;51.675
Navarra;De 55 a 59 años;47.869
Navarra;De 60 a 64 años;42.185
Navarra;De 65 a 69 años;35.340
Navarra;De 70 a 74 años  ;31.325
Navarra;De 75 a 79 años  ;26.473
Navarra;De 80 a 84 años  ;17.410
Navarra;De 85 a 89 años  ;14.546
Navarra;De 90 a 94 años  ;7.196
Navarra;De 95 a 99 años  ;2.048
Navarra;100 y más años;278
Araba/Álava;De 0 a 4 años;13.181
Araba/Álava;De 5 a 9 años;16.759
Araba/Álava;De 10 a 14 años  ;17.558
Araba/Álava;De 15 a 19 años  ;16.108
Araba/Álava;De 20 a 24 años;15.143
Araba/Álava;De 25 a 29 años;15.158
Araba/Álava;De 30 a 34 años;17.006
Araba/Álava;De 35 a 39 años;21.231
Araba/Álava;De 40 a 44 años;26.867
Araba/Álava;De 45 a 49 años;28.456
Araba/Álava;De 50 a 54 años;26.455
Araba/Álava;De 55 a 59 años;25.045
Araba/Álava;De 60 a 64 años;22.355
Araba/Álava;De 65 a 69 años;19.396
Araba/Álava;De 70 a 74 años  ;17.315
Araba/Álava;De 75 a 79 años  ;14.573
Araba/Álava;De 80 a 84 años  ;9.440
Araba/Álava;De 85 a 89 años  ;7.620
Araba/Álava;De 90 a 94 años  ;3.649
Araba/Álava;De 95 a 99 años  ;966
Araba/Álava;100 y más años;131
Bizkaia;De 0 a 4 años;38.665
Bizkaia;De 5 a 9 años;49.766
Bizkaia;De 10 a 14 años  ;54.658
Bizkaia;De 15 a 19 años  ;54.140
Bizkaia;De 20 a 24 años;52.152
Bizkaia;De 25 a 29 años;52.727
Bizkaia;De 30 a 34 años;56.962
Bizkaia;De 35 a 39 años;68.621
Bizkaia;De 40 a 44 años;87.459
Bizkaia;De 45 a 49 años;95.773
Bizkaia;De 50 a 54 años;91.303
Bizkaia;De 55 a 59 años;90.512
Bizkaia;De 60 a 64 años;84.569
Bizkaia;De 65 a 69 años;70.785
Bizkaia;De 70 a 74 años  ;62.490
Bizkaia;De 75 a 79 años  ;52.356
Bizkaia;De 80 a 84 años  ;35.953
Bizkaia;De 85 a 89 años  ;31.331
Bizkaia;De 90 a 94 años  ;14.894
Bizkaia;De 95 a 99 años  ;3.772
Bizkaia;100 y más años;456
Gipuzkoa;De 0 a 4 años;26.449
Gipuzkoa;De 5 a 9 años;33.348
Gipuzkoa;De 10 a 14 años  ;37.894
Gipuzkoa;De 15 a 19 años  ;37.285
Gipuzkoa;De 20 a 24 años;35.792
Gipuzkoa;De 25 a 29 años;34.599
Gipuzkoa;De 30 a 34 años;35.697
Gipuzkoa;De 35 a 39 años;41.858
Gipuzkoa;De 40 a 44 años;53.457
Gipuzkoa;De 45 a 49 años;60.309
Gipuzkoa;De 50 a 54 años;56.123
Gipuzkoa;De 55 a 59 años;54.197
Gipuzkoa;De 60 a 64 años;50.020
Gipuzkoa;De 65 a 69 años;43.038
Gipuzkoa;De 70 a 74 años  ;39.744
Gipuzkoa;De 75 a 79 años  ;33.513
Gipuzkoa;De 80 a 84 años  ;22.038
Gipuzkoa;De 85 a 89 años  ;18.202
Gipuzkoa;De 90 a 94 años  ;8.428
Gipuzkoa;De 95 a 99 años  ;2.126
Gipuzkoa;100 y más años;301
Rioja, La;De 0 a 4 años;12.275
Rioja, La;De 5 a 9 años;15.233
Rioja, La;De 10 a 14 años  ;16.995
Rioja, La;De 15 a 19 años  ;16.369
Rioja, La;De 20 a 24 años;15.527
Rioja, La;De 25 a 29 años;15.024
Rioja, La;De 30 a 34 años;16.862
Rioja, La;De 35 a 39 años;20.030
Rioja, La;De 40 a 44 años;25.588
Rioja, La;De 45 a 49 años;26.885
Rioja, La;De 50 a 54 años;24.931
Rioja, La;De 55 a 59 años;23.411
Rioja, La;De 60 a 64 años;21.911
Rioja, La;De 65 a 69 años;17.934
Rioja, La;De 70 a 74 años  ;15.605
Rioja, La;De 75 a 79 años  ;13.171
Rioja, La;De 80 a 84 años  ;8.980
Rioja, La;De 85 a 89 años  ;8.012
Rioja, La;De 90 a 94 años  ;3.915
Rioja, La;De 95 a 99 años  ;1.091
Rioja, La;100 y más años;143
