Provincias;Tamaño del hogar;Total
27 Lugo;1 persona;38653
27 Lugo;2 personas;43915
27 Lugo;3 personas;28718
27 Lugo;4 personas;17143
27 Lugo;5 personas o más;7161
32 Ourense;1 persona;38954
32 Ourense;2 personas;45120
32 Ourense;3 personas;27153
32 Ourense;4 personas;15427
32 Ourense;5 personas o más;4601
36 Pontevedra;1 persona;94367
36 Pontevedra;2 personas;112204
36 Pontevedra;3 personas;82379
36 Pontevedra;4 personas;60999
36 Pontevedra;5 personas o más;22504
Murcia;1 persona;684182
Murcia;2 personas;803463
Murcia;3 personas;523285
Murcia;4 personas;456697
Murcia;5 personas o más;177888
Madrid;1 persona;120196
Madrid;2 personas;159921
Madrid;3 personas;113880
Madrid;4 personas;109675
Madrid;5 personas o más;50804
Navarra;1 persona;70342
Navarra;2 personas;77749
Navarra;3 personas;49340
Navarra;4 personas;45691
Navarra;5 personas o más;16155
01 Araba/Álava;1 persona;43202
01 Araba/Álava;2 personas;46543
01 Araba/Álava;3 personas;24979
01 Araba/Álava;4 personas;20808
01 Araba/Álava;5 personas o más;5624
48 Bizkaia;1 persona;141244
48 Bizkaia;2 personas;158488
48 Bizkaia;3 personas;94925
48 Bizkaia;4 personas;70194
48 Bizkaia;5 personas o más;18465
20 Gipuzkoa;1 persona;75217
20 Gipuzkoa;2 personas;90324
20 Gipuzkoa;3 personas;54218
20 Gipuzkoa;4 personas;51640
20 Gipuzkoa;5 personas o más;14913
Rioja, La;1 persona;37488
Rioja, La;2 personas;40970
Rioja, La;3 personas;25785
Rioja, La;4 personas;19797
Rioja, La;5 personas o más;6273
