;Provincias;Porcentaje con dispositivo;Renta normalizada;Mediana edad;Producción media;Familia de 1 padres y 0 hijos;Familia de 1 padres y 1 hijos;Familia de 1 padres y 2 hijos;Familia de 2 padres y 0 hijos;Familia de 2 padres y 1 hijos;Familia de 2 padres y 2 hijos
0;Albacete;4.314061590196861;0.2424015360839226;47;136.52895833333335;0.03313228276044566;0.07256526539588105;0.0446478269200938;0.35668987416849923;0.20483433858619776;0.28813041216888247
1;Alicante/Alacant;4.036059976402042;0.1483007852136311;47;135.82375;0.04103805369365535;0.09414299393552505;0.04508103698975068;0.3943415966237543;0.1977338014682413;0.2276625172890733
2;Almería;6.713842035208567;0.13710797858224452;42;140.47838888888887;0.030275878446032457;0.09007116679764099;0.04246995546872896;0.34977979176306134;0.20130876401853715;0.2860944435059991
3;Araba/Álava;10.445423882543011;0.5842270406968574;47;107.76833333333333;0.0337745536765745;0.09739821313611884;0.0452316275953753;0.4012226461705947;0.19478595841118804;0.2275870010101486
4;Asturias;5.0313676562166485;0.3497400833606518;52;92.62291666666665;0.0569317885967196;0.11521576412392606;0.035539247591772974;0.43212705024733145;0.21139189013277793;0.148794259307472
5;Badajoz;4.284820916745457;0.07928628295789812;47;134.2011036036036;0.03736671471615243;0.07549320108449598;0.03369275042542009;0.36105285616898153;0.2209062098322778;0.27148826777267215
6;Barcelona;6.148334823194686;0.7213974617149814;42;126.90277777777777;0.036614982649768084;0.10545481580835997;0.05459124917117934;0.3828054422222863;0.1885074248675025;0.23202608528090382
7;Bizkaia;5.066981026531365;0.6744875817605646;47;94.77516666666668;0.03823280547550866;0.09478555964070738;0.04752978798363129;0.4049870971433045;0.20054381701731722;0.21392093273953092
8;Burgos;5.041191843882249;0.416678374623394;47;118.46180555555556;0.04329656054419029;0.08528400308146239;0.030134889505405146;0.39447250096925085;0.21465003751126596;0.23216200838842538
9;Cantabria;3.4500259908233972;0.3999594124166783;47;97.18242424242425;0.049320665110548806;0.10779049537059746;0.043495321548000655;0.3878426609038371;0.2076436355452712;0.20390722152174479
10;Castellón/Castelló;4.248335365281815;0.32178148269563983;47;129.22545454545454;0.027747873510866092;0.06888464314022406;0.041018467034982076;0.40147464183889553;0.2151687586508772;0.245705615824155
11;Ciudad Real;4.2337207090981055;0.17028052264318827;47;135.35093434343435;0.027473229301939413;0.058136234290620856;0.03919982401237591;0.39496448314279836;0.1989334298426756;0.2812927994095899
12;Coruña, A;3.7637144810503718;0.4045801526717557;47;107.85787878787879;0.05022288350036564;0.0886053137571173;0.0386654096424481;0.41605118650277695;0.22863096062565252;0.1778242459716395
13;Cuenca;4.592573977508325;0.16533195959974387;47;134.0036388888889;0.04010610638746399;0.06485840770149673;0.034423090436371304;0.41568582671632354;0.18658210947930573;0.2583444592790387
14;Cáceres;4.7267928274793265;0.0512027974211274;47;132.08075268817205;0.03821501193528424;0.0843338343205729;0.03617275218813544;0.4065069401467598;0.21351339404119885;0.2212580673680488
15;Cádiz;8.209187456271342;0.19694344276370215;42;137.3203205128205;0.039806681386589375;0.09545482510407623;0.04592889320308708;0.3213094806783925;0.22312987483508445;0.2743702447927704
16;Córdoba;6.240187873833897;0.16132003309449092;47;135.56753472222223;0.03524559845311846;0.08095213836881962;0.049305741668124806;0.36943092744230754;0.1956371030080467;0.26942849105958283
17;Gipuzkoa;5.352706704655504;0.7693532524703789;47;92.29194444444444;0.042076238956175765;0.07956916895832114;0.040386753261950736;0.3851027831412244;0.19494665808515202;0.2579183975971759
18;Girona;5.622456412346883;0.5326651992694235;42;123.75666666666666;0.040288573317225504;0.08018052927902258;0.03896195664562011;0.3745389893095667;0.21120557999589706;0.25482437145266806
19;Granada;6.498633545656589;0.15790130973009253;42;138.3231746031746;0.03782050319752604;0.0960214819707569;0.04726108625814393;0.35920189449665235;0.20047212297715195;0.2592229110997688
20;Guadalajara;7.19346102519821;0.44380961301300353;42;129.78570175438597;0.029496116445890046;0.0779747484631113;0.04218261814304705;0.35994574496082704;0.21291728805781807;0.2774834839293065
21;Huelva;7.828205305948643;0.16119514822273215;42;136.02916666666667;0.031230825058555733;0.08931151651106786;0.03487282683996965;0.36142579091478905;0.21054003232936364;0.2726190083462541
22;Huesca;5.696279912416223;0.43562965391279906;47;128.38679487179488;0.04243966190560887;0.07916450782210606;0.03401050165103277;0.4079094909251197;0.2153534447426013;0.22112239295353137
23;Jaén;4.6103677505445075;0.09770680154232814;47;133.54210144927535;0.04054094946755101;0.07584131342002537;0.04219427854606076;0.35946290188138397;0.2077417615519836;0.27421879513299535
24;León;4.7350366749387085;0.2730763827096894;52;123.05630000000001;0.05268179366988841;0.1140445815436482;0.028531886249561614;0.42404884284836164;0.2126730447964944;0.16801985089204569
25;Lleida;4.726341316583086;0.47041009069763806;42;126.27543859649121;0.040903533609713945;0.1113527118353823;0.05457521415514749;0.3671361951071871;0.2019808604437223;0.22405148484884688
