Provincias;Índice dispositivos energía renovable;Familia monoparental con 0 hijos;Familia monoparental con 1 hijo;Familia monoparental con 2 hijos o más;Pareja casada con 0 hijos;Pareja casada con 1 hijo;Pareja casada con 2 hijos o más;Pareja no casada con 0 hijos;Pareja no casada con 1 hijo;Pareja no casada con 2 hijos o más
Madrid;0.07618574712083433;0.0365491795018875;0.09333627890992995;0.0425405856529749;0.2924487301722646;0.1654114376222479;0.22062084486371542;0.0834120112345325;0.035898827195423505;0.029782104847023805
Murcia;0.047745587469620786;0.03395806465033074;0.08805290917243323;0.043933426707899396;0.2773386399670878;0.16431034562456953;0.272510435301133;0.058478133248279274;0.03716608192000296;0.02425196340826411
Málaga;0.06058336270708495;0.041060847426215547;0.08665464227084867;0.056228397355983215;0.2968736233298935;0.16429706401522326;0.21812024463332852;0.0749728843460393;0.03439409299023634;0.027398203632231728
Navarra;0.06465061338562617;0.037761154558162376;0.0887615161671605;0.04276701046507235;0.297304663676646;0.16285897788787962;0.2530372457268071;0.06859506808503749;0.02642174403480082;0.022492619398433746
Ourense;0.028646559323694067;0.05388621794871795;0.11192502598752599;0.026171604296604298;0.40561113998614;0.16530773562023562;0.12525446119196118;0.059944559944559946;0.034216909216909216;0.017682345807345807
Palencia;0.04656689478829811;0.04660452729693742;0.08073980455437947;0.03851362025773545;0.3699248459680877;0.16711051930758988;0.18789636416980748;0.055733598140332664;0.03243133449186396;0.021045385813265927
Pontevedra;0.036229160514376225;0.04774121661860992;0.10270753614734529;0.03696556156531671;0.3401876046784157;0.18311977044536462;0.17277723734559114;0.048216253599889625;0.04665317235634061;0.021631647243126374
Rioja, La;0.044192371273815964;0.03436337922033954;0.08801349853383643;0.04782368905319143;0.33699919729592476;0.1724557830187134;0.21555607734354096;0.058302526606636776;0.027947207190481133;0.01853864173733557
Salamanca;0.04042366773596371;0.0508930032679221;0.09240458881726561;0.04427796871452932;0.37472349366741103;0.17093502695111842;0.17365389590163502;0.0429317326322347;0.03117988353738049;0.01900040651050328
Segovia;0.04451777696688931;0.04838728014825426;0.07957297315733824;0.041577134281523924;0.3267846788771786;0.1689575588071444;0.22111941062109894;0.05409461441386132;0.033539115704264585;0.0259672339893357
Sevilla;0.12301336612791773;0.036402129182792196;0.08854120171748944;0.053124545990803414;0.2833533753778669;0.16874613818683387;0.24861587364934998;0.053852711102242434;0.035565439463398324;0.0317985853292234
Soria;0.09921941376380629;0.044271362915361774;0.07495831130272095;0.03444909911741977;0.35506568511815184;0.16695814861512182;0.19502175946638467;0.05126692967828527;0.03137837068369464;0.04663033310285924
Tarragona;0.05281246455102047;0.036732033154961076;0.09186927802555522;0.04626882913807828;0.3223346274605264;0.17154680518366017;0.19351052286314296;0.05780870297099147;0.05201401123043853;0.02791518997264592
Teruel;0.05284367535238234;0.03903967146655435;0.08300207965883065;0.02653539368731408;0.36744149314239083;0.18307578908573985;0.21966725458709557;0.03236633585173875;0.019388211756653593;0.02948377076368231
Toledo;0.040164969342315164;0.03166597337770383;0.07791577529514301;0.031294568576182555;0.3023903613025909;0.1686821567229221;0.2559251446002694;0.0613337889232232;0.04187712938752872;0.028915101814436257
Valencia/València;0.036176838115770105;0.04118182109599141;0.09822396926907193;0.042236326820641865;0.29756294978442405;0.1817877044231807;0.22910756359090254;0.05420920752458955;0.03370945595785717;0.021981001533340812
Valladolid;0.03979309406052906;0.04147312213798257;0.07759009490951828;0.0369070624137897;0.3520343162267952;0.17670354849010578;0.18446617922525127;0.06065254820369828;0.04334958503833581;0.0268235433545231
Zamora;0.03324438071719706;0.04767129968300415;0.08893156140778671;0.0300536454523287;0.41312078354872794;0.17764976022108428;0.15495204421685768;0.04413557668861253;0.03013492644070552;0.013350402340892466
Zaragoza;0.06736766565808995;0.03418611270756696;0.09119983175269096;0.039162824596741294;0.3155851761067065;0.18113962169737602;0.20989395705704997;0.0745727189164003;0.030266385529281015;0.02399337163618695
Ávila;0.042104168832518975;0.04690030517699164;0.09296330164046404;0.0355856203245673;0.3573435279341611;0.18211464519043263;0.19328610618396555;0.03858230414137297;0.02602267343858451;0.027201515969460268
