Provincias;Índice dispositivos energía renovable;Familia monoparental con 0 hijos;Familia monoparental con 1 hijo;Familia monoparental con 2 hijos o más;Pareja casada con 0 hijos;Pareja casada con 1 hijo;Pareja casada con 2 hijos o más;Pareja no casada con 0 hijos;Pareja no casada con 1 hijo;Pareja no casada con 2 hijos o más
Albacete;0.04314061590196861;0.03313228276044566;0.07256526539588105;0.0446478269200938;0.304961173819018;0.17633291054922393;0.2560429232327472;0.05172870034948125;0.02850142803697384;0.032087488936135264
Alicante/Alacant;0.04036059976402042;0.04103805369365535;0.09414299393552505;0.04508103698975068;0.32901993119835443;0.16007465333191473;0.20744316771287727;0.06532166542539987;0.03765914813632656;0.02021934957619605
Almería;0.06713842035208567;0.030275878446032457;0.09007116679764099;0.04246995546872896;0.29002856954002304;0.16102253003229067;0.25440355270921006;0.05975122222303826;0.04028623398624647;0.03169089079678905
Araba/Álava;0.10445423882543012;0.0337745536765745;0.09739821313611884;0.0452316275953753;0.32872224054097904;0.15705978718838487;0.2015848341629113;0.07250040562961567;0.03772617122280319;0.02600216684723727
Asturias;0.05031367656216649;0.0569317885967196;0.11521576412392606;0.035539247591772974;0.365555844832075;0.1879718823223119;0.1329080968497787;0.06657120541525645;0.023420007810466024;0.01588616245769331
Badajoz;0.04284820916745457;0.03736671471615243;0.07549320108449598;0.03369275042542009;0.3169314592299246;0.18377367131029387;0.25306640716475076;0.044121396939056944;0.03713253852198394;0.0184218606079214
Barcelona;0.06148334823194686;0.036614982649768084;0.10545481580835997;0.05459124917117934;0.29364543014464345;0.1516074948146552;0.19670292488343405;0.08916001207764286;0.03689993005284727;0.035323160397469765
Bizkaia;0.05066981026531365;0.03823280547550866;0.09478555964070738;0.04752978798363129;0.34128131238764575;0.1719798733502561;0.19288340454746655;0.06370578475565873;0.02856394366706113;0.021037528192064368
Burgos;0.050411918438822485;0.04329656054419029;0.08528400308146239;0.030134889505405146;0.34703207842623873;0.1783069076115142;0.21472556355012662;0.047440422543012076;0.03634312989975177;0.017436444838298752
Cantabria;0.03450025990823397;0.049320665110548806;0.10779049537059746;0.043495321548000655;0.3275781978077781;0.17949213621897983;0.17691848269852764;0.06026446309605902;0.028151499326291372;0.026988738823217125
Castellón/Castelló;0.042483353652818155;0.027747873510866092;0.06888464314022406;0.041018467034982076;0.339865608252789;0.17777330856865692;0.2202439399496031;0.061609033586106546;0.037395450082220304;0.02546167587455193
Ciudad Real;0.04233720709098105;0.027473229301939413;0.058136234290620856;0.03919982401237591;0.35130110205153314;0.18069245453061689;0.2646910636606845;0.0436633810912652;0.0182409753120587;0.0166017357489054
Coruña, A;0.03763714481050372;0.05022288350036564;0.0886053137571173;0.0386654096424481;0.35498423506948634;0.1896393800070596;0.15460653205784097;0.061066951433290585;0.03899158061859294;0.02321771391379852
Cuenca;0.04592573977508325;0.04010610638746399;0.06485840770149673;0.034423090436371304;0.36016442976600377;0.15511032253531024;0.23041247979762491;0.055521396950319726;0.0314717869439955;0.027931979481413814
Cáceres;0.047267928274793265;0.03821501193528424;0.0843338343205729;0.03617275218813544;0.353996109981434;0.18494385995933163;0.19892582441870746;0.05251083016532579;0.028569534081867208;0.02233224294934135
Cádiz;0.08209187456271343;0.039806681386589375;0.09545482510407623;0.04592889320308708;0.273212247157984;0.18374701784847594;0.238978173043401;0.04809723352040851;0.03938285698660852;0.03539207174936939
Córdoba;0.062401878738338974;0.03524559845311846;0.08095213836881962;0.049305741668124806;0.3250776873855177;0.18077073860049747;0.2552443138149545;0.04435324005678987;0.014866364407549243;0.014184177244628329
Gipuzkoa;0.05352706704655504;0.042076238956175765;0.07956916895832114;0.040386753261950736;0.3326750921537651;0.16461636728882648;0.2273760068652117;0.05242769098745929;0.03033029079632555;0.030542390731964193
Girona;0.05622456412346884;0.040288573317225504;0.08018052927902258;0.03896195664562011;0.30858653780401635;0.16047958788265596;0.21333454901871396;0.06595245150555036;0.050725992113241095;0.04148982243395409
Granada;0.06498633545656589;0.03782050319752604;0.0960214819707569;0.04726108625814393;0.29336550875191403;0.16380002702134686;0.22883327828984898;0.06583638574473834;0.03667209595580508;0.030389632809919836
Guadalajara;0.0719346102519821;0.029496116445890046;0.0779747484631113;0.04218261814304705;0.28274703250578653;0.18628913077218956;0.24466053485751305;0.07719871245504052;0.02662815728562849;0.03282294907179345
Huelva;0.07828205305948643;0.031230825058555733;0.08931151651106786;0.03487282683996965;0.31753043248771157;0.18400026391317256;0.23549302279550027;0.043895358427077494;0.026539768416191073;0.037125985550753804
Huesca;0.05696279912416223;0.04243966190560887;0.07916450782210606;0.03401050165103277;0.3224501790229907;0.174653747109726;0.19840232613890327;0.08545931190212894;0.04069969763287527;0.022720066814628074
Jaén;0.04610367750544508;0.04054094946755101;0.07584131342002537;0.04219427854606076;0.3195024057176026;0.18974220720807464;0.2504807308759893;0.03996049616378136;0.017999554343908954;0.023738064257006017
León;0.047350366749387085;0.05268179366988841;0.1140445815436482;0.028531886249561614;0.37126523039328446;0.18644527994509327;0.15168359246842675;0.05278361245507718;0.02622776485140114;0.01633625842361894
Lleida;0.04726341316583086;0.040903533609713945;0.1113527118353823;0.05457521415514749;0.29628080907038146;0.17135995985711042;0.1967081237579798;0.07085538603680562;0.03062090058661187;0.027343361090867095
Lugo;0.028206825804480206;0.06037995011799212;0.10997795070666178;0.02674315929710777;0.3850054477762229;0.199956624340974;0.13248165571087026;0.04669596244907233;0.025033951780725715;0.013725297820373133
