Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;;;Total;De 40 a 44 años;Total;1 de enero de 2018;3.992.655
Total Nacional;;;Total;De 40 a 44 años;Total;1 de enero de 2017;3.973.640
Total Nacional;;;Total;De 40 a 44 años;Total;1 de enero de 2016;3.941.053
Total Nacional;;;Total;De 40 a 44 años;Total;1 de enero de 2015;3.909.699
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2022;3.997.182
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2021;3.945.845
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2020;3.895.525
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2019;3.818.921
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2018;3.768.313
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2017;3.740.547
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2016;3.716.166
Total Nacional;;;Total;De 45 a 49 años;Total;1 de enero de 2015;3.699.662
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2022;3.739.679
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2021;3.699.275
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2020;3.668.449
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2019;3.637.840
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2018;3.586.094
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2017;3.517.607
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2016;3.459.524
Total Nacional;;;Total;De 50 a 54 años;Total;1 de enero de 2015;3.412.600
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2022;3.493.035
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2021;3.422.655
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2020;3.364.857
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2019;3.266.949
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2018;3.196.535
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2017;3.142.339
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2016;3.069.211
Total Nacional;;;Total;De 55 a 59 años;Total;1 de enero de 2015;2.979.243
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2022;3.088.533
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2021;3.007.236
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2020;2.912.674
Total Nacional;;;Total;De 60 a 64 años;Total;1 de enero de 2019;2.799.111
