Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;02 Aragón;22 Huesca;Total;De 15 a 19 años  ;Total;1 de enero de 2015;9.851
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2022;10.986
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2021;10.914
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2020;10.760
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2019;10.456
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2018;10.172
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2017;10.236
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2016;10.295
Total Nacional;02 Aragón;22 Huesca;Total;De 20 a 24 años;Total;1 de enero de 2015;10.453
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2022;11.330
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2021;11.155
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2020;10.998
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2019;10.758
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2018;10.904
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2017;11.025
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2016;11.355
Total Nacional;02 Aragón;22 Huesca;Total;De 25 a 29 años;Total;1 de enero de 2015;11.898
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2022;12.148
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2021;12.334
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2020;12.460
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2019;12.417
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2018;12.471
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2017;13.057
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2016;13.658
Total Nacional;02 Aragón;22 Huesca;Total;De 30 a 34 años;Total;1 de enero de 2015;14.514
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2022;14.048
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2021;14.371
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2020;14.773
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2019;15.155
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2018;15.792
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2017;16.501
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2016;17.225
Total Nacional;02 Aragón;22 Huesca;Total;De 35 a 39 años;Total;1 de enero de 2015;17.709
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2022;17.610
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2021;17.865
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2020;17.762
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2019;17.643
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2018;17.447
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2017;17.283
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2016;17.354
Total Nacional;02 Aragón;22 Huesca;Total;De 40 a 44 años;Total;1 de enero de 2015;17.295
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2022;18.019
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2021;17.741
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2020;17.241
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2019;17.106
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2018;16.952
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2017;16.932
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2016;17.056
Total Nacional;02 Aragón;22 Huesca;Total;De 45 a 49 años;Total;1 de enero de 2015;17.199
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2022;17.310
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2021;17.145
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2020;17.035
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2019;16.904
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2018;16.961
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2017;16.967
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2016;16.895
Total Nacional;02 Aragón;22 Huesca;Total;De 50 a 54 años;Total;1 de enero de 2015;16.857
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2022;17.110
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2021;16.905
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2020;16.584
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2019;16.326
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2018;16.017
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2017;15.791
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2016;15.517
Total Nacional;02 Aragón;22 Huesca;Total;De 55 a 59 años;Total;1 de enero de 2015;15.218
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2022;15.605
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2021;15.204
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2020;14.748
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2019;14.191
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2018;13.760
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2017;13.357
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2016;12.881
Total Nacional;02 Aragón;22 Huesca;Total;De 60 a 64 años;Total;1 de enero de 2015;12.458
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2022;12.942
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2021;12.451
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2020;11.969
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2019;11.871
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2018;11.743
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2017;11.457
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2016;11.567
Total Nacional;02 Aragón;22 Huesca;Total;De 65 a 69 años;Total;1 de enero de 2015;11.656
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2022;10.991
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2021;10.957
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2020;10.955
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2019;10.767
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2018;10.560
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2017;10.278
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2016;9.821
Total Nacional;02 Aragón;22 Huesca;Total;De 70 a 74 años  ;Total;1 de enero de 2015;9.536
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2022;9.394
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2021;8.946
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2020;8.662
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2019;7.940
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2018;7.531
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2017;7.783
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2016;8.324
Total Nacional;02 Aragón;22 Huesca;Total;De 75 a 79 años  ;Total;1 de enero de 2015;8.779
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2022;6.617
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2021;7.011
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2020;7.366
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2019;8.126
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2018;8.700
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2017;8.988
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2016;9.081
Total Nacional;02 Aragón;22 Huesca;Total;De 80 a 84 años  ;Total;1 de enero de 2015;9.234
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2022;6.532
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2021;6.553
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2020;6.609
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2019;6.569
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2018;6.569
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2017;6.460
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2016;6.359
Total Nacional;02 Aragón;22 Huesca;Total;De 85 a 89 años  ;Total;1 de enero de 2015;6.290
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2022;3.414
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2021;3.338
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2020;3.329
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2019;3.251
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2018;3.178
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2017;3.106
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2016;3.003
Total Nacional;02 Aragón;22 Huesca;Total;De 90 a 94 años  ;Total;1 de enero de 2015;3.000
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2022;981
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2021;904
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2020;924
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2019;856
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2018;823
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2017;760
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2016;658
Total Nacional;02 Aragón;22 Huesca;Total;De 95 a 99 años  ;Total;1 de enero de 2015;615
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2022;150
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2021;136
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2020;142
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2019;118
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2018;128
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2017;130
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2016;126
Total Nacional;02 Aragón;22 Huesca;Total;100 y más años;Total;1 de enero de 2015;134
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2022;134.421
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2021;134.545
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2020;134.176
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2019;134.137
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2018;134.572
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2017;135.562
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2016;136.977
Total Nacional;02 Aragón;44 Teruel;Total;Todas las edades;Total;1 de enero de 2015;138.932
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2022;4.929
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2021;5.020
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2020;5.045
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2019;5.201
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2018;5.346
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2017;5.498
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2016;5.600
Total Nacional;02 Aragón;44 Teruel;Total;De 0 a 4 años;Total;1 de enero de 2015;5.843
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2022;5.851
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2021;5.951
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2020;6.024
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2019;6.007
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2018;6.078
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2017;6.169
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2016;6.183
Total Nacional;02 Aragón;44 Teruel;Total;De 5 a 9 años;Total;1 de enero de 2015;6.224
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2022;6.429
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2021;6.334
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2020;6.209
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2019;6.141
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2018;6.014
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2017;5.879
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2016;5.914
Total Nacional;02 Aragón;44 Teruel;Total;De 10 a 14 años  ;Total;1 de enero de 2015;6.038
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2022;6.131
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2021;6.122
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2020;6.193
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2019;6.044
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2018;5.982
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2017;6.097
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2016;6.157
Total Nacional;02 Aragón;44 Teruel;Total;De 15 a 19 años  ;Total;1 de enero de 2015;6.113
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2022;6.593
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2021;6.533
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2020;6.346
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2019;6.428
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2018;6.499
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2017;6.585
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2016;6.715
Total Nacional;02 Aragón;44 Teruel;Total;De 20 a 24 años;Total;1 de enero de 2015;7.032
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2022;6.810
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2021;6.821
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2020;6.893
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2019;6.872
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2018;6.936
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2017;7.157
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2016;7.526
Total Nacional;02 Aragón;44 Teruel;Total;De 25 a 29 años;Total;1 de enero de 2015;7.824
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2022;7.360
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2021;7.521
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2020;7.455
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2019;7.483
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2018;7.623
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2017;7.818
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2016;8.155
Total Nacional;02 Aragón;44 Teruel;Total;De 30 a 34 años;Total;1 de enero de 2015;8.669
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2022;8.023
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2021;8.211
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2020;8.428
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2019;8.738
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2018;8.954
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2017;9.349
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2016;9.620
Total Nacional;02 Aragón;44 Teruel;Total;De 35 a 39 años;Total;1 de enero de 2015;9.859
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2022;9.495
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2021;9.620
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2020;9.568
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2019;9.636
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2018;9.702
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2017;9.656
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2016;9.830
Total Nacional;02 Aragón;44 Teruel;Total;De 40 a 44 años;Total;1 de enero de 2015;9.930
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2022;9.765
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2021;9.856
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2020;9.741
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2019;9.738
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2018;9.843
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2017;10.085
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2016;10.314
Total Nacional;02 Aragón;44 Teruel;Total;De 45 a 49 años;Total;1 de enero de 2015;10.622
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2022;10.094
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2021;10.227
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2020;10.390
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2019;10.555
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2018;10.704
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2017;10.658
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2016;10.716
Total Nacional;02 Aragón;44 Teruel;Total;De 50 a 54 años;Total;1 de enero de 2015;10.798
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2022;10.619
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2021;10.610
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2020;10.516
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2019;10.345
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2018;10.198
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2017;10.103
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2016;9.811
Total Nacional;02 Aragón;44 Teruel;Total;De 55 a 59 años;Total;1 de enero de 2015;9.454
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2022;9.989
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2021;9.658
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2020;9.220
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2019;8.632
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2018;8.325
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2017;8.027
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2016;7.772
Total Nacional;02 Aragón;44 Teruel;Total;De 60 a 64 años;Total;1 de enero de 2015;7.578
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2022;7.872
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2021;7.534
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2020;7.285
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2019;7.273
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2018;7.083
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2017;6.971
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2016;6.906
Total Nacional;02 Aragón;44 Teruel;Total;De 65 a 69 años;Total;1 de enero de 2015;6.925
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2022;6.609
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2021;6.530
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2020;6.474
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2019;6.477
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2018;6.362
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2017;6.206
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2016;6.092
Total Nacional;02 Aragón;44 Teruel;Total;De 70 a 74 años  ;Total;1 de enero de 2015;6.216
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2022;5.642
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2021;5.502
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2020;5.623
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2019;5.130
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2018;5.006
Total Nacional;02 Aragón;44 Teruel;Total;De 75 a 79 años  ;Total;1 de enero de 2017;5.266
