Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.010
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.938
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.977
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con consumo mayor de 10.000 kwh;6.882
Total Nacional;01 Andalucía;18 Granada;;Viviendas totales;573.692
Total Nacional;01 Andalucía;18 Granada;;Viviendas vacías;90.538
Total Nacional;01 Andalucía;18 Granada;;Mediana consumo anual;2.356
Total Nacional;01 Andalucía;18 Granada;;Viviendas con bajo consumo;22.156
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico;57.231
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico (entre 251 y 500 kwh);29.553
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico (entre 501 y 750 kwh);27.678
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 751 y 1.000 kwh;26.848
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 1.001 y 2.000 kwh;109.417
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 2.001 y 3.000 kwh;96.712
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 3.001 y 4.000 kwh;69.667
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 4.001 y 5.000 kwh;42.873
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 5.001 y 6.000 kwh;24.254
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 6.001 y 7.000 kwh;12.981
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.235
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.267
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.685
Total Nacional;01 Andalucía;18 Granada;;Viviendas con consumo mayor de 10.000 kwh;6.828
Total Nacional;01 Andalucía;21 Huelva;;Viviendas totales;320.045
Total Nacional;01 Andalucía;21 Huelva;;Viviendas vacías;41.907
Total Nacional;01 Andalucía;21 Huelva;;Mediana consumo anual;2.023
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con bajo consumo;13.853
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico;44.678
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico (entre 251 y 500 kwh);22.312
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico (entre 501 y 750 kwh);22.366
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 751 y 1.000 kwh;19.322
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 1.001 y 2.000 kwh;66.810
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 2.001 y 3.000 kwh;57.140
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 3.001 y 4.000 kwh;37.559
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 4.001 y 5.000 kwh;18.986
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 5.001 y 6.000 kwh;8.854
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 6.001 y 7.000 kwh;4.144
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.162
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.276
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 9.001 y 10.000 kwh;771
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con consumo mayor de 10.000 kwh;2.583
Total Nacional;01 Andalucía;23 Jaén;;Viviendas totales;373.720
Total Nacional;01 Andalucía;23 Jaén;;Viviendas vacías;62.501
Total Nacional;01 Andalucía;23 Jaén;;Mediana consumo anual;2.839
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con bajo consumo;12.287
Total Nacional;01 Andalucía;23 Jaén;;Viviendas de uso esporádico;31.175
Total Nacional;01 Andalucía;23 Jaén;;Viviendas de uso esporádico (entre 251 y 500 kwh);16.493
Total Nacional;01 Andalucía;23 Jaén;;Viviendas de uso esporádico (entre 501 y 750 kwh);14.682
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 751 y 1.000 kwh;13.833
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 1.001 y 2.000 kwh;55.589
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 2.001 y 3.000 kwh;57.761
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 3.001 y 4.000 kwh;49.832
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 4.001 y 5.000 kwh;35.806
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 5.001 y 6.000 kwh;22.301
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 6.001 y 7.000 kwh;13.174
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.342
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.100
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.463
Total Nacional;01 Andalucía;23 Jaén;;Viviendas con consumo mayor de 10.000 kwh;5.556
Total Nacional;01 Andalucía;29 Málaga;;Viviendas totales;996.557
Total Nacional;01 Andalucía;29 Málaga;;Viviendas vacías;152.774
Total Nacional;01 Andalucía;29 Málaga;;Mediana consumo anual;2.353
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con bajo consumo;29.160
Total Nacional;01 Andalucía;29 Málaga;;Viviendas de uso esporádico;89.731
Total Nacional;01 Andalucía;29 Málaga;;Viviendas de uso esporádico (entre 251 y 500 kwh);44.857
Total Nacional;01 Andalucía;29 Málaga;;Viviendas de uso esporádico (entre 501 y 750 kwh);44.874
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 751 y 1.000 kwh;46.195
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 1.001 y 2.000 kwh;201.833
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 2.001 y 3.000 kwh;181.536
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 3.001 y 4.000 kwh;123.428
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 4.001 y 5.000 kwh;71.714
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 5.001 y 6.000 kwh;38.848
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 6.001 y 7.000 kwh;21.304
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 7.001 y 8.000 kwh;12.469
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 8.001 y 9.000 kwh;7.615
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.038
Total Nacional;01 Andalucía;29 Málaga;;Viviendas con consumo mayor de 10.000 kwh;14.912
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas totales;912.899
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas vacías;97.189
Total Nacional;01 Andalucía;41 Sevilla;;Mediana consumo anual;2.858
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con bajo consumo;15.806
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas de uso esporádico;53.159
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas de uso esporádico (entre 251 y 500 kwh);25.832
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas de uso esporádico (entre 501 y 750 kwh);27.327
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 751 y 1.000 kwh;30.307
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 1.001 y 2.000 kwh;157.381
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 2.001 y 3.000 kwh;184.883
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 3.001 y 4.000 kwh;154.796
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 4.001 y 5.000 kwh;98.181
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 5.001 y 6.000 kwh;53.444
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 6.001 y 7.000 kwh;27.914
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 7.001 y 8.000 kwh;14.586
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 8.001 y 9.000 kwh;8.109
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con cosumo entre 9.001 y 10.000 kwh;5.002
Total Nacional;01 Andalucía;41 Sevilla;;Viviendas con consumo mayor de 10.000 kwh;12.142
Total Nacional;02 Aragón;22 Huesca;;Viviendas totales;171.843
Total Nacional;02 Aragón;22 Huesca;;Viviendas vacías;29.579
Total Nacional;02 Aragón;22 Huesca;;Mediana consumo anual;1.747
Total Nacional;02 Aragón;22 Huesca;;Viviendas con bajo consumo;11.922
Total Nacional;02 Aragón;22 Huesca;;Viviendas de uso esporádico;27.057
Total Nacional;02 Aragón;22 Huesca;;Viviendas de uso esporádico (entre 251 y 500 kwh);14.684
Total Nacional;02 Aragón;22 Huesca;;Viviendas de uso esporádico (entre 501 y 750 kwh);12.373
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 751 y 1.000 kwh;10.551
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 1.001 y 2.000 kwh;36.029
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 2.001 y 3.000 kwh;25.748
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 3.001 y 4.000 kwh;13.818
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 4.001 y 5.000 kwh;6.866
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 5.001 y 6.000 kwh;3.486
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 6.001 y 7.000 kwh;1.971
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 7.001 y 8.000 kwh;1.306
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 8.001 y 9.000 kwh;896
Total Nacional;02 Aragón;22 Huesca;;Viviendas con cosumo entre 9.001 y 10.000 kwh;604
Total Nacional;02 Aragón;22 Huesca;;Viviendas con consumo mayor de 10.000 kwh;2.010
Total Nacional;02 Aragón;44 Teruel;;Viviendas totales;125.711
Total Nacional;02 Aragón;44 Teruel;;Viviendas vacías;33.127
Total Nacional;02 Aragón;44 Teruel;;Mediana consumo anual;1.639
Total Nacional;02 Aragón;44 Teruel;;Viviendas con bajo consumo;11.470
Total Nacional;02 Aragón;44 Teruel;;Viviendas de uso esporádico;19.125
Total Nacional;02 Aragón;44 Teruel;;Viviendas de uso esporádico (entre 251 y 500 kwh);10.876
Total Nacional;02 Aragón;44 Teruel;;Viviendas de uso esporádico (entre 501 y 750 kwh);8.249
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 751 y 1.000 kwh;6.652
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 1.001 y 2.000 kwh;21.849
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 2.001 y 3.000 kwh;14.915
Total Nacional;02 Aragón;44 Teruel;;Viviendas con cosumo entre 3.001 y 4.000 kwh;7.938
