Provincias;Tipo de núcleo familiar;Número de hijos;Total
Bizkaia;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;21.060
Bizkaia;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;9.468
Bizkaia;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;7.101
Bizkaia;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;21.253
Bizkaia;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;9.504
Bizkaia;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;6.872
Bizkaia;Pareja no casada, con o sin hijos convivientes;Total;37.629
Bizkaia;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Bizkaia;Padre sólo con hijos convivientes;1 hijo conviviendo;8.377
Bizkaia;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.612
Bizkaia;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;4.925
Bizkaia;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;5.036
Bizkaia;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.027
Bizkaia;Padre sólo con hijos convivientes;Total;10.988
Bizkaia;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Bizkaia;Madre sóla con hijos convivientes;1 hijo conviviendo;32.386
Bizkaia;Madre sóla con hijos convivientes;2 o más hijos conviviendo;16.585
Bizkaia;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;20.469
Bizkaia;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;17.157
Bizkaia;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;11.345
Bizkaia;Madre sóla con hijos convivientes;Total;48.971
Burgos;Total;0 hijos conviviendo;33.716
Burgos;Total;1 hijo conviviendo;36.013
Burgos;Total;2 o más hijos conviviendo;29.573
Burgos;Total;0 hijos conviviendo menores de 25 años;53.227
Burgos;Total;1 hijo conviviendo menor de 25 años;23.555
Burgos;Total;2 hijos o más conviviendo menores de 25 años;22.520
Burgos;Total;Total;99.303
Burgos;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;29.092
Burgos;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;20.450
Burgos;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;23.949
Burgos;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;39.831
Burgos;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;14.963
Burgos;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;18.697
Burgos;Pareja casada, con o sin hijos convivientes;Total;73.490
Burgos;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;4.624
Burgos;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.652
Burgos;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;1.776
Burgos;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;4.798
Burgos;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.566
Burgos;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.687
Burgos;Pareja no casada, con o sin hijos convivientes;Total;10.051
Burgos;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Burgos;Padre sólo con hijos convivientes;1 hijo conviviendo;1.626
Burgos;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.077
Burgos;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.630
Burgos;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;502
Burgos;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;571
Burgos;Padre sólo con hijos convivientes;Total;2.703
Burgos;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Burgos;Madre sóla con hijos convivientes;1 hijo conviviendo;10.286
Burgos;Madre sóla con hijos convivientes;2 o más hijos conviviendo;2.772
Burgos;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;6.969
Burgos;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;4.524
Burgos;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.565
Burgos;Madre sóla con hijos convivientes;Total;13.058
Cáceres;Total;0 hijos conviviendo;39.716
Cáceres;Total;1 hijo conviviendo;40.490
Cáceres;Total;2 o más hijos conviviendo;32.903
Cáceres;Total;0 hijos conviviendo menores de 25 años;60.888
Cáceres;Total;1 hijo conviviendo menor de 25 años;26.888
Cáceres;Total;2 hijos o más conviviendo menores de 25 años;25.333
Cáceres;Total;Total;113.109
Cáceres;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;33.847
Cáceres;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;23.934
Cáceres;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;25.679
Cáceres;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;46.234
Cáceres;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;17.904
Cáceres;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;19.322
Cáceres;Pareja casada, con o sin hijos convivientes;Total;83.460
Cáceres;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;5.869
Cáceres;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.302
Cáceres;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;2.526
Cáceres;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;6.010
Cáceres;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.161
Cáceres;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.526
Cáceres;Pareja no casada, con o sin hijos convivientes;Total;11.697
Cáceres;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Cáceres;Padre sólo con hijos convivientes;1 hijo conviviendo;2.669
Cáceres;Padre sólo con hijos convivientes;2 o más hijos conviviendo;843
Cáceres;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.963
Cáceres;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.172
Cáceres;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;377
Cáceres;Padre sólo con hijos convivientes;Total;3.512
Cáceres;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Cáceres;Madre sóla con hijos convivientes;1 hijo conviviendo;10.586
Cáceres;Madre sóla con hijos convivientes;2 o más hijos conviviendo;3.855
Cáceres;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;6.682
Cáceres;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;4.651
Cáceres;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.108
Cáceres;Madre sóla con hijos convivientes;Total;14.441
Cádiz;Total;0 hijos conviviendo;96.559
Cádiz;Total;1 hijo conviviendo;137.166
Cádiz;Total;2 o más hijos conviviendo;131.993
Cádiz;Total;0 hijos conviviendo menores de 25 años;167.574
Cádiz;Total;1 hijo conviviendo menor de 25 años;95.858
Cádiz;Total;2 hijos o más conviviendo menores de 25 años;102.285
Cádiz;Total;Total;365.717
Cádiz;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;79.331
Cádiz;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;77.541
Cádiz;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;97.644
Cádiz;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;120.506
Cádiz;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;56.858
Cádiz;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;77.153
Cádiz;Pareja casada, con o sin hijos convivientes;Total;254.516
Cádiz;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;17.228
Cádiz;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;14.544
Cádiz;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;13.165
Cádiz;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;17.952
Cádiz;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;14.262
Cádiz;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;12.722
Cádiz;Pareja no casada, con o sin hijos convivientes;Total;44.937
Cádiz;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Cádiz;Padre sólo con hijos convivientes;1 hijo conviviendo;8.741
Cádiz;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.740
Cádiz;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;6.084
Cádiz;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;3.762
Cádiz;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.636
Cádiz;Padre sólo con hijos convivientes;Total;11.481
Cádiz;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Cádiz;Madre sóla con hijos convivientes;1 hijo conviviendo;36.340
Cádiz;Madre sóla con hijos convivientes;2 o más hijos conviviendo;18.443
Cádiz;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;23.032
Cádiz;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;20.976
Cádiz;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;10.775
Cádiz;Madre sóla con hijos convivientes;Total;54.783
Cantabria;Total;0 hijos conviviendo;58.168
Cantabria;Total;1 hijo conviviendo;66.719
Cantabria;Total;2 o más hijos conviviendo;48.407
Cantabria;Total;0 hijos conviviendo menores de 25 años;93.347
Cantabria;Total;1 hijo conviviendo menor de 25 años;42.607
Cantabria;Total;2 hijos o más conviviendo menores de 25 años;37.340
Cantabria;Total;Total;173.294
Cantabria;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;47.982
Cantabria;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;36.662
Cantabria;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;33.888
Cantabria;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;65.553
Cantabria;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;25.548
Cantabria;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;27.430
Cantabria;Pareja casada, con o sin hijos convivientes;Total;118.531
Cantabria;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;10.187
Cantabria;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;5.001
Cantabria;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;4.811
Cantabria;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;10.700
Cantabria;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;4.756
Cantabria;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.543
Cantabria;Pareja no casada, con o sin hijos convivientes;Total;19.998
Cantabria;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Cantabria;Padre sólo con hijos convivientes;1 hijo conviviendo;3.972
Cantabria;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.538
Cantabria;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;2.159
Cantabria;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.379
Cantabria;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;972
Cantabria;Padre sólo con hijos convivientes;Total;5.510
Cantabria;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Cantabria;Madre sóla con hijos convivientes;1 hijo conviviendo;21.084
Cantabria;Madre sóla con hijos convivientes;2 o más hijos conviviendo;8.170
Cantabria;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;14.935
Cantabria;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;9.924
Cantabria;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.395
Cantabria;Madre sóla con hijos convivientes;Total;29.254
Castellón/Castelló;Total;0 hijos conviviendo;60.251
Castellón/Castelló;Total;1 hijo conviviendo;56.023
Castellón/Castelló;Total;2 o más hijos conviviendo;52.784
Castellón/Castelló;Total;0 hijos conviviendo menores de 25 años;84.876
Castellón/Castelló;Total;1 hijo conviviendo menor de 25 años;40.020
Castellón/Castelló;Total;2 hijos o más conviviendo menores de 25 años;44.162
Castellón/Castelló;Total;Total;169.058
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;49.899
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;34.622
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;40.224
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;65.015
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;25.486
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;34.244
Castellón/Castelló;Pareja casada, con o sin hijos convivientes;Total;124.745
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;10.352
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;6.220
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;4.471
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;10.479
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;6.424
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.138
Castellón/Castelló;Pareja no casada, con o sin hijos convivientes;Total;21.042
Castellón/Castelló;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Castellón/Castelló;Padre sólo con hijos convivientes;1 hijo conviviendo;3.177
Castellón/Castelló;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.184
Castellón/Castelló;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.589
Castellón/Castelló;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.793
Castellón/Castelló;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;979
Castellón/Castelló;Padre sólo con hijos convivientes;Total;4.361
Castellón/Castelló;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Castellón/Castelló;Madre sóla con hijos convivientes;1 hijo conviviendo;12.005
Castellón/Castelló;Madre sóla con hijos convivientes;2 o más hijos conviviendo;6.905
Castellón/Castelló;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;7.793
Castellón/Castelló;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;6.316
Castellón/Castelló;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.801
Castellón/Castelló;Madre sóla con hijos convivientes;Total;18.910
Ciudad Real;Total;0 hijos conviviendo;46.554
Ciudad Real;Total;1 hijo conviviendo;43.270
Ciudad Real;Total;2 o más hijos conviviendo;51.096
Ciudad Real;Total;0 hijos conviviendo menores de 25 años;72.505
Ciudad Real;Total;1 hijo conviviendo menor de 25 años;29.183
Ciudad Real;Total;2 hijos o más conviviendo menores de 25 años;39.232
Ciudad Real;Total;Total;140.920
Ciudad Real;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;40.425
Ciudad Real;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;29.789
Ciudad Real;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;42.054
Ciudad Real;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;58.585
Ciudad Real;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;21.137
Ciudad Real;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;32.546
Ciudad Real;Pareja casada, con o sin hijos convivientes;Total;112.268
Ciudad Real;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;6.129
Ciudad Real;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;2.589
Ciudad Real;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;2.345
Ciudad Real;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;6.177
Ciudad Real;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;2.552
Ciudad Real;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.334
Ciudad Real;Pareja no casada, con o sin hijos convivientes;Total;11.063
Ciudad Real;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Ciudad Real;Padre sólo con hijos convivientes;1 hijo conviviendo;1.939
Ciudad Real;Padre sólo con hijos convivientes;2 o más hijos conviviendo;971
Ciudad Real;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.586
Ciudad Real;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.050
Ciudad Real;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;273
Ciudad Real;Padre sólo con hijos convivientes;Total;2.910
Ciudad Real;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Ciudad Real;Madre sóla con hijos convivientes;1 hijo conviviendo;8.953
Ciudad Real;Madre sóla con hijos convivientes;2 o más hijos conviviendo;5.726
Ciudad Real;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;6.157
Ciudad Real;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;4.443
Ciudad Real;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;4.078
Ciudad Real;Madre sóla con hijos convivientes;Total;14.679
Córdoba;Total;0 hijos conviviendo;70.363
Córdoba;Total;1 hijo conviviendo;73.581
Córdoba;Total;2 o más hijos conviviendo;81.800
Córdoba;Total;0 hijos conviviendo menores de 25 años;112.344
Córdoba;Total;1 hijo conviviendo menor de 25 años;51.295
Córdoba;Total;2 hijos o más conviviendo menores de 25 años;62.105
Córdoba;Total;Total;225.744
Córdoba;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;60.664
Córdoba;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;45.965
Córdoba;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;65.183
Córdoba;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;86.105
Córdoba;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;35.651
Córdoba;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;50.057
Córdoba;Pareja casada, con o sin hijos convivientes;Total;171.812
Córdoba;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;9.698
Córdoba;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;3.603
Córdoba;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;3.269
Córdoba;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;10.327
Córdoba;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;3.109
Córdoba;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.135
Córdoba;Pareja no casada, con o sin hijos convivientes;Total;16.571
Córdoba;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Córdoba;Padre sólo con hijos convivientes;1 hijo conviviendo;3.238
Córdoba;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.309
Córdoba;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;2.457
Córdoba;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;1.668
Córdoba;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.422
Córdoba;Padre sólo con hijos convivientes;Total;5.547
Córdoba;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Córdoba;Madre sóla con hijos convivientes;1 hijo conviviendo;20.776
Córdoba;Madre sóla con hijos convivientes;2 o más hijos conviviendo;11.039
Córdoba;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;13.456
Córdoba;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;10.867
Córdoba;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;7.491
Córdoba;Madre sóla con hijos convivientes;Total;31.814
Coruña, A;Total;0 hijos conviviendo;118.866
Coruña, A;Total;1 hijo conviviendo;133.049
Coruña, A;Total;2 o más hijos conviviendo;83.800
Coruña, A;Total;0 hijos conviviendo menores de 25 años;194.204
Coruña, A;Total;1 hijo conviviendo menor de 25 años;79.952
Coruña, A;Total;2 hijos o más conviviendo menores de 25 años;61.558
Coruña, A;Total;Total;335.715
Coruña, A;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;99.089
Coruña, A;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;76.513
Coruña, A;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;59.139
Coruña, A;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;139.257
Coruña, A;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;50.816
Coruña, A;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;44.668
Coruña, A;Pareja casada, con o sin hijos convivientes;Total;234.741
Coruña, A;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;19.776
Coruña, A;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;13.663
Coruña, A;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;7.947
Coruña, A;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;21.226
Coruña, A;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;12.517
Coruña, A;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;7.642
Coruña, A;Pareja no casada, con o sin hijos convivientes;Total;41.386
Coruña, A;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Coruña, A;Padre sólo con hijos convivientes;1 hijo conviviendo;7.161
Coruña, A;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.101
Coruña, A;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;4.548
Coruña, A;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;3.271
Coruña, A;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.443
Coruña, A;Padre sólo con hijos convivientes;Total;9.263
Coruña, A;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Coruña, A;Madre sóla con hijos convivientes;1 hijo conviviendo;35.712
Coruña, A;Madre sóla con hijos convivientes;2 o más hijos conviviendo;14.613
Coruña, A;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;29.173
Coruña, A;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;13.348
Coruña, A;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;7.804
Coruña, A;Madre sóla con hijos convivientes;Total;50.325
Cuenca;Total;0 hijos conviviendo;20.255
Cuenca;Total;1 hijo conviviendo;17.098
Cuenca;Total;2 o más hijos conviviendo;19.570
Cuenca;Total;0 hijos conviviendo menores de 25 años;31.635
Cuenca;Total;1 hijo conviviendo menor de 25 años;11.527
Cuenca;Total;2 hijos o más conviviendo menores de 25 años;13.761
Cuenca;Total;Total;56.923
Cuenca;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;17.104
Cuenca;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;10.252
Cuenca;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;15.091
Cuenca;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;23.900
Cuenca;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;7.407
Cuenca;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;11.141
Cuenca;Pareja casada, con o sin hijos convivientes;Total;42.448
Cuenca;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;3.151
Cuenca;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;1.761
Cuenca;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;1.630
Cuenca;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;3.170
Cuenca;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;1.822
Cuenca;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.550
Cuenca;Pareja no casada, con o sin hijos convivientes;Total;6.541
Cuenca;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Cuenca;Padre sólo con hijos convivientes;1 hijo conviviendo;1.005
Cuenca;Padre sólo con hijos convivientes;2 o más hijos conviviendo;641
Cuenca;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;960
Cuenca;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;425
Cuenca;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;261
Cuenca;Padre sólo con hijos convivientes;Total;1.646
Cuenca;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Cuenca;Madre sóla con hijos convivientes;1 hijo conviviendo;4.081
Cuenca;Madre sóla con hijos convivientes;2 o más hijos conviviendo;2.208
Cuenca;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;3.606
Cuenca;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;1.873
Cuenca;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;809
Cuenca;Madre sóla con hijos convivientes;Total;6.288
Gipuzkoa;Total;0 hijos conviviendo;68.247
Gipuzkoa;Total;1 hijo conviviendo;69.423
Gipuzkoa;Total;2 o más hijos conviviendo;67.423
Gipuzkoa;Total;0 hijos conviviendo menores de 25 años;106.977
Gipuzkoa;Total;1 hijo conviviendo menor de 25 años;43.178
Gipuzkoa;Total;2 hijos o más conviviendo menores de 25 años;54.938
Gipuzkoa;Total;Total;205.093
Gipuzkoa;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;57.745
Gipuzkoa;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;39.624
Gipuzkoa;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;51.254
Gipuzkoa;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;78.713
Gipuzkoa;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;27.899
Gipuzkoa;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;42.012
Gipuzkoa;Pareja casada, con o sin hijos convivientes;Total;148.624
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;10.501
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;6.357
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;6.379
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;11.004
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;6.084
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;6.149
Gipuzkoa;Pareja no casada, con o sin hijos convivientes;Total;23.237
Gipuzkoa;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Gipuzkoa;Padre sólo con hijos convivientes;1 hijo conviviendo;4.482
Gipuzkoa;Padre sólo con hijos convivientes;2 o más hijos conviviendo;2.654
Gipuzkoa;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;3.075
