Provincias;Tipo de núcleo familiar;Número de hijos;Total
Alicante/Alacant;Total;0 hijos conviviendo menores de 25 años;293.769
Alicante/Alacant;Total;1 hijo conviviendo menor de 25 años;136.958
Alicante/Alacant;Total;2 hijos o más conviviendo menores de 25 años;133.214
Alicante/Alacant;Total;Total;563.941
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;161.750
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;100.549
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;130.506
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;209.345
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;79.996
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;103.465
Alicante/Alacant;Pareja casada, con o sin hijos convivientes;Total;392.806
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;35.537
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;22.008
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;11.932
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;38.138
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;20.467
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;10.873
Alicante/Alacant;Pareja no casada, con o sin hijos convivientes;Total;69.478
Alicante/Alacant;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Alicante/Alacant;Padre sólo con hijos convivientes;1 hijo conviviendo;15.317
Alicante/Alacant;Padre sólo con hijos convivientes;2 o más hijos conviviendo;5.437
Alicante/Alacant;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;9.710
Alicante/Alacant;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;7.718
Alicante/Alacant;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;3.326
Alicante/Alacant;Padre sólo con hijos convivientes;Total;20.754
Alicante/Alacant;Madre sóla con hijos convivientes;0 hijos conviviendo;0
Alicante/Alacant;Madre sóla con hijos convivientes;1 hijo conviviendo;54.370
Alicante/Alacant;Madre sóla con hijos convivientes;2 o más hijos conviviendo;26.533
Alicante/Alacant;Madre sóla con hijos convivientes;0 hijos conviviendo menores de 25 años;36.576
Alicante/Alacant;Madre sóla con hijos convivientes;1 hijo conviviendo menor de 25 años;28.777
Alicante/Alacant;Madre sóla con hijos convivientes;2 hijos o más conviviendo menores de 25 años;15.550
Alicante/Alacant;Madre sóla con hijos convivientes;Total;80.903
Almería;Total;0 hijos conviviendo;61.040
Almería;Total;1 hijo conviviendo;68.891
Almería;Total;2 o más hijos conviviendo;74.309
Almería;Total;0 hijos conviviendo menores de 25 años;94.204
Almería;Total;1 hijo conviviendo menor de 25 años;50.132
Almería;Total;2 hijos o más conviviendo menores de 25 años;59.904
Almería;Total;Total;204.240
Almería;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;48.949
Almería;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;37.975
Almería;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;57.157
Almería;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;69.521
Almería;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;27.799
Almería;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;46.761
Almería;Pareja casada, con o sin hijos convivientes;Total;144.081
Almería;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;12.091
Almería;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;8.156
Almería;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;6.657
Almería;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;12.316
Almería;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;8.300
Almería;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;6.288
Almería;Pareja no casada, con o sin hijos convivientes;Total;26.904
Almería;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Almería;Padre sólo con hijos convivientes;1 hijo conviviendo;3.668
Almería;Padre sólo con hijos convivientes;2 o más hijos conviviendo;1.929
Almería;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;1.801
Almería;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;2.635
Almería;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;1.162
