"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2005";" Mayo";238277.934;"-";38955.293;71195.071;20282.497;36027.371;71817.70200000001
"2005";" Junio";175383.193;"-";37839.66;33697.598;14912.759;15807.281;73125.895
"2005";" Julio";201207.434;"-";35061.321;56745.636;16994.874;29801.999;62603.604
"2005";" Agosto";191290.938;"-";34460.936;42276.013;14649.155;19390.282;80514.552
"2005";" Septiembre";214722.928;"-";35446.784;64448.856;16448.806;30100.448;68278.034
"2005";" Octubre";168559.915;"-";33673.892;28198.647;14390.263;19678.864;72618.249
"2005";" Noviembre";224790.949;"-";37002.636;68668.18700000001;16756.532;29603.522;72760.072
"2005";" Diciembre";233309.03;"-";45233.124;38794.152;20311.028;24178.127;104792.599
"2006";"Total";3081437.457;"-";565126.2300000001;766087.7780000001;255642.957;361836.753;1132743.739
"2006";" Enero";405523.849;"-";66376.595;130023.252;29160.319;48242.287;131721.396
"2006";" Febrero";297389.209;"-";69501.29399999999;45617.797;29887.57;24920.314;127462.234
"2006";" Marzo";364508.036;"-";65687.508;119736.225;32052.666;45208.381;101823.256
"2006";" Abril";285561.697;"-";51229.524;53970.977;23869.795;22055.104;134436.297
"2006";" Mayo";265361.519;"-";47366.476;74450.969;22094.963;35398.239;86050.872
"2006";" Junio";188268.625;"-";35555.879;34169.334;17547.392;27814.989;73181.031
"2006";" Julio";206007.126;"-";36114.693;59346.516;15867.099;28637.372;66041.446
"2006";" Agosto";200502.544;"-";37027.673;39761.613;14880.967;23200.235;85632.056
"2006";" Septiembre";227882.201;"-";37190.59;67217.68300000001;16455.585;29585.362;77432.981
"2006";" Octubre";198663.037;"-";37790.423;34788.425;16794.312;24895.007;84394.87
"2006";" Noviembre";232947.943;"-";38836.332;67754.807;17673.675;29750.94;78932.189
"2006";" Diciembre";208821.671;"-";42449.243;39250.18;19358.614;22128.523;85635.111
"2007";"Total";3274768.887;"-";588870.248;814528.3149999999;270387.699;390984.644;1209997.981
